# of predictors,i,predictors,fold,jaccard_score
2,2,9|10,0,0.5497076023391813
2,2,9|10,1,0.5092896174863388
2,2,9|10,2,0.4822211264518957
2,2,9|10,3,0.31444623752316064
2,2,9|10,4,0.39060858819894967
2,3,2|7,0,0.5400691262760229
2,3,2|7,1,0.4870982875908984
2,3,2|7,2,0.5268354833572225
2,3,2|7,3,0.5609915198956295
2,3,2|7,4,0.6732589623408481
2,4,7|10,0,0.41
2,4,7|10,1,0.49937976253765726
2,4,7|10,2,0.4660494948638549
2,4,7|10,3,0.34654234654234656
2,4,7|10,4,0.4498450267681037
2,5,5|6,0,0.5374358974358975
2,5,5|6,1,0.38615136876006445
2,5,5|6,2,0.5654600301659125
2,5,5|6,3,0.42869730888306745
2,5,5|6,4,0.5638278388278388
2,6,2|8,0,0.5252007607776839
2,6,2|8,1,0.43288084464555054
2,6,2|8,2,0.5093595862826631
2,6,2|8,3,0.48768622681666157
2,6,2|8,4,0.5926977139326536
2,7,1|9,0,0.5544659221888404
2,7,1|9,1,0.4975553638193845
2,7,1|9,2,0.5205128205128206
2,7,1|9,3,0.4399249061326658
2,7,1|9,4,0.6062413788658132
2,8,3|7,0,0.529013576078621
2,8,3|7,1,0.4524352365847211
2,8,3|7,2,0.4667819072313454
2,8,3|7,3,0.4376742333731581
2,8,3|7,4,0.5724193292449572
2,9,3|6,0,0.5290019259091424
2,9,3|6,1,0.4193538572179349
2,9,3|6,2,0.44426162073220904
2,9,3|6,3,0.3420215591734081
2,9,3|6,4,0.6095860566448801
2,10,3|10,0,0.4229819563152896
2,10,3|10,1,0.4877731698755866
2,10,3|10,2,0.3559785476049567
2,10,3|10,3,0.5009665838166252
2,10,3|10,4,0.43212457161732526
2,11,2|9,0,0.5208707721528234
2,11,2|9,1,0.4903546676596322
2,11,2|9,2,0.5299408284023668
2,11,2|9,3,0.4456388206388206
2,11,2|9,4,0.6732589623408481
2,12,7|10,0,0.41
2,12,7|10,1,0.49937976253765726
2,12,7|10,2,0.4660494948638549
2,12,7|10,3,0.34654234654234656
2,12,7|10,4,0.4498450267681037
2,13,1|2,0,0.4637876743139901
2,13,1|2,1,0.4811662229695017
2,13,1|2,2,0.5592948717948718
2,13,1|2,3,0.36184069855469453
2,13,1|2,4,0.5576550387596899
2,14,7|9,0,0.5162393162393162
2,14,7|9,1,0.46264057947906745
2,14,7|9,2,0.5205128205128206
2,14,7|9,3,0.289014289014289
2,14,7|9,4,0.4475076547670722
2,15,7|8,0,0.49565360013121207
2,15,7|8,1,0.452991452991453
2,15,7|8,2,0.42809821057012065
2,15,7|8,3,0.33614712089237253
2,15,7|8,4,0.5246768813841984
2,16,0|7,0,0.4161735700197239
2,16,0|7,1,0.4036160420775806
2,16,0|7,2,0.44290090017789546
2,16,0|7,3,0.32813850973054953
2,16,0|7,4,0.4900645533556926
2,17,0|5,0,0.4204160619254959
2,17,0|5,1,0.46621896621896625
2,17,0|5,2,0.5275026343519494
2,17,0|5,3,0.3432528011967264
2,17,0|5,4,0.5199862740348571
2,18,1|3,0,0.48102226720647767
2,18,1|3,1,0.468482905982906
2,18,1|3,2,0.5079737685371488
2,18,1|3,3,0.4211161387631976
2,18,1|3,4,0.5455748354455251
2,19,1|8,0,0.5023290235514345
2,19,1|8,1,0.4389566477478566
2,19,1|8,2,0.506209913617321
2,19,1|8,3,0.468971477960242
2,19,1|8,4,0.6280258203335127
2,20,4|9,0,0.5162393162393162
2,20,4|9,1,0.5005236309584136
2,20,4|9,2,0.5499507134528232
2,20,4|9,3,0.4095566854814884
2,20,4|9,4,0.6501239590181898
2,21,0|2,0,0.45972448968703655
2,21,0|2,1,0.41488388155054823
2,21,0|2,2,0.44555672637864413
2,21,0|2,3,0.3855586679116091
2,21,0|2,4,0.494750566115419
2,22,8|10,0,0.4230376365207826
2,22,8|10,1,0.5331705331705332
2,22,8|10,2,0.6161823361823362
2,22,8|10,3,0.3429077316545347
2,22,8|10,4,0.5579240037071362
2,23,4|7,0,0.45556946182728414
2,23,4|7,1,0.44319865319865326
2,23,4|7,2,0.42276892276892275
2,23,4|7,3,0.5026151732882502
2,23,4|7,4,0.616173570019724
2,24,3|4,0,0.580303704334712
2,24,3|4,1,0.47210141524522803
2,24,3|4,2,0.3737316083206494
2,24,3|4,3,0.40293565831585915
2,24,3|4,4,0.43524216524216525
2,25,7|8,0,0.49565360013121207
2,25,7|8,1,0.452991452991453
2,25,7|8,2,0.42809821057012065
2,25,7|8,3,0.33614712089237253
2,25,7|8,4,0.5246768813841984
2,26,3|8,0,0.48619528619528624
2,26,3|8,1,0.45214420789361315
2,26,3|8,2,0.45345978222690553
2,26,3|8,3,0.4343785095589089
2,26,3|8,4,0.57871198568873
2,27,0|9,0,0.480360445272726
2,27,0|9,1,0.4842585328257985
2,27,0|9,2,0.5393421393421393
2,27,0|9,3,0.32813850973054953
2,27,0|9,4,0.526027397260274
2,28,8|9,0,0.5519323671497585
2,28,8|9,1,0.5582568935232943
2,28,8|9,2,0.48188417707648473
2,28,8|9,3,0.32082662767744125
2,28,8|9,4,0.4925074925074925
2,29,3|10,0,0.4229819563152896
2,29,3|10,1,0.4877731698755866
2,29,3|10,2,0.3559785476049567
2,29,3|10,3,0.5009665838166252
2,29,3|10,4,0.43212457161732526
2,30,3|9,0,0.5901191401191401
2,30,3|9,1,0.5047554347826088
2,30,3|9,2,0.4906919564453811
2,30,3|9,3,0.3637566137566138
2,30,3|9,4,0.6138200444457732
2,31,4|10,0,0.5816597195907541
2,31,4|10,1,0.46191950464396286
2,31,4|10,2,0.4092941140813481
2,31,4|10,3,0.3900404973201908
2,31,4|10,4,0.46855243521910195
2,32,2|6,0,0.5184392721706155
2,32,2|6,1,0.3966437093801533
2,32,2|6,2,0.5492145178764898
2,32,2|6,3,0.45743750250792503
2,32,2|6,4,0.6225274725274725
2,33,6|9,0,0.5108135351779419
2,33,6|9,1,0.4407378335949765
2,33,6|9,2,0.5714210752130578
2,33,6|9,3,0.37750694615348945
2,33,6|9,4,0.5730689064022398
2,34,2|4,0,0.5304789131928285
2,34,2|4,1,0.4604847207586934
2,34,2|4,2,0.47992232569347
2,34,2|4,3,0.3777011102592498
2,34,2|4,4,0.4729928541403951
2,35,5|7,0,0.4587194373115998
2,35,5|7,1,0.48519333060556463
2,35,5|7,2,0.46996266823853033
2,35,5|7,3,0.26311424424631974
2,35,5|7,4,0.5239563413079394
2,36,1|10,0,0.4566544566544567
2,36,1|10,1,0.483974358974359
2,36,1|10,2,0.537185114108191
2,36,1|10,3,0.36843325450920383
2,36,1|10,4,0.4654965977667666
2,37,1|3,0,0.48102226720647767
2,37,1|3,1,0.468482905982906
2,37,1|3,2,0.5079737685371488
2,37,1|3,3,0.4211161387631976
2,37,1|3,4,0.5455748354455251
2,38,3|9,0,0.5901191401191401
2,38,3|9,1,0.5047554347826088
2,38,3|9,2,0.4906919564453811
2,38,3|9,3,0.3637566137566138
2,38,3|9,4,0.6138200444457732
2,39,8|10,0,0.4230376365207826
2,39,8|10,1,0.5331705331705332
2,39,8|10,2,0.6161823361823362
2,39,8|10,3,0.3429077316545347
2,39,8|10,4,0.5579240037071362
2,40,0|8,0,0.4542365727550913
2,40,0|8,1,0.42199376523780413
2,40,0|8,2,0.4892391972720666
2,40,0|8,3,0.3896204424506311
2,40,0|8,4,0.5499295246663668
2,41,1|8,0,0.5023290235514345
2,41,1|8,1,0.4389566477478566
2,41,1|8,2,0.506209913617321
2,41,1|8,3,0.468971477960242
2,41,1|8,4,0.6280258203335127
2,42,0|2,0,0.45972448968703655
2,42,0|2,1,0.41488388155054823
2,42,0|2,2,0.44555672637864413
2,42,0|2,3,0.3855586679116091
2,42,0|2,4,0.494750566115419
2,43,3|5,0,0.49476190476190474
2,43,3|5,1,0.4348385031531099
2,43,3|5,2,0.5694785086089434
2,43,3|5,3,0.37881741390513324
2,43,3|5,4,0.5828053191839653
2,44,7|8,0,0.49565360013121207
2,44,7|8,1,0.452991452991453
2,44,7|8,2,0.42809821057012065
2,44,7|8,3,0.33614712089237253
2,44,7|8,4,0.5246768813841984
2,45,1|6,0,0.5069321009598293
2,45,1|6,1,0.3786752455908543
2,45,1|6,2,0.6028496463279073
2,45,1|6,3,0.4289987789987789
2,45,1|6,4,0.5731660646112775
2,46,3|10,0,0.4229819563152896
2,46,3|10,1,0.4877731698755866
2,46,3|10,2,0.3559785476049567
2,46,3|10,3,0.5009665838166252
2,46,3|10,4,0.43212457161732526
2,47,5|7,0,0.4587194373115998
2,47,5|7,1,0.48519333060556463
2,47,5|7,2,0.46996266823853033
2,47,5|7,3,0.26311424424631974
2,47,5|7,4,0.5239563413079394
2,48,7|10,0,0.41
2,48,7|10,1,0.49937976253765726
2,48,7|10,2,0.4660494948638549
2,48,7|10,3,0.34654234654234656
2,48,7|10,4,0.4498450267681037
2,49,1|3,0,0.48102226720647767
2,49,1|3,1,0.468482905982906
2,49,1|3,2,0.5079737685371488
2,49,1|3,3,0.4211161387631976
2,49,1|3,4,0.5455748354455251
2,50,5|10,0,0.41535486749795475
2,50,5|10,1,0.531296076527493
2,50,5|10,2,0.502856515051637
2,50,5|10,3,0.34654234654234656
2,50,5|10,4,0.469904474610357
2,51,0|8,0,0.4542365727550913
2,51,0|8,1,0.42199376523780413
2,51,0|8,2,0.4892391972720666
2,51,0|8,3,0.3896204424506311
2,51,0|8,4,0.5499295246663668
2,52,7|9,0,0.5162393162393162
2,52,7|9,1,0.46264057947906745
2,52,7|9,2,0.5205128205128206
2,52,7|9,3,0.289014289014289
2,52,7|9,4,0.4475076547670722
2,53,9|10,0,0.5497076023391813
2,53,9|10,1,0.5092896174863388
2,53,9|10,2,0.4822211264518957
2,53,9|10,3,0.31444623752316064
2,53,9|10,4,0.39060858819894967
2,54,8|9,0,0.5519323671497585
2,54,8|9,1,0.5582568935232943
2,54,8|9,2,0.48188417707648473
2,54,8|9,3,0.32082662767744125
2,54,8|9,4,0.4925074925074925
2,55,6|10,0,0.4680530634549765
2,55,6|10,1,0.4536579628322748
2,55,6|10,2,0.48199649353495505
2,55,6|10,3,0.29702518467813244
2,55,6|10,4,0.4190947655537723
2,56,4|10,0,0.5816597195907541
2,56,4|10,1,0.46191950464396286
2,56,4|10,2,0.4092941140813481
2,56,4|10,3,0.3900404973201908
2,56,4|10,4,0.46855243521910195
2,57,1|10,0,0.4566544566544567
2,57,1|10,1,0.483974358974359
2,57,1|10,2,0.537185114108191
2,57,1|10,3,0.36843325450920383
2,57,1|10,4,0.4654965977667666
2,58,1|5,0,0.5511336657169991
2,58,1|5,1,0.5031702898550725
2,58,1|5,2,0.5380929142060624
2,58,1|5,3,0.5182897771678009
2,58,1|5,4,0.563457042867221
2,59,7|9,0,0.5162393162393162
2,59,7|9,1,0.46264057947906745
2,59,7|9,2,0.5205128205128206
2,59,7|9,3,0.289014289014289
2,59,7|9,4,0.4475076547670722
2,60,6|8,0,0.4927964918160996
2,60,6|8,1,0.4941355852685902
2,60,6|8,2,0.5475159036802872
2,60,6|8,3,0.33079558518155006
2,60,6|8,4,0.6171681374933408
2,61,3|5,0,0.49476190476190474
2,61,3|5,1,0.4348385031531099
2,61,3|5,2,0.5694785086089434
2,61,3|5,3,0.37881741390513324
2,61,3|5,4,0.5828053191839653
2,62,0|9,0,0.480360445272726
2,62,0|9,1,0.4842585328257985
2,62,0|9,2,0.5393421393421393
2,62,0|9,3,0.32813850973054953
2,62,0|9,4,0.526027397260274
2,63,1|6,0,0.5069321009598293
2,63,1|6,1,0.3786752455908543
2,63,1|6,2,0.6028496463279073
2,63,1|6,3,0.4289987789987789
2,63,1|6,4,0.5731660646112775
2,64,4|8,0,0.4681318681318682
2,64,4|8,1,0.46271781620618824
2,64,4|8,2,0.5606508875739644
2,64,4|8,3,0.3721496926625132
2,64,4|8,4,0.6253404345457847
2,65,5|9,0,0.5112665112665112
2,65,5|9,1,0.533523814807623
2,65,5|9,2,0.5008771929824561
2,65,5|9,3,0.3623481781376518
2,65,5|9,4,0.4848178137651822
2,66,5|7,0,0.4587194373115998
2,66,5|7,1,0.48519333060556463
2,66,5|7,2,0.46996266823853033
2,66,5|7,3,0.26311424424631974
2,66,5|7,4,0.5239563413079394
2,67,1|8,0,0.5023290235514345
2,67,1|8,1,0.4389566477478566
2,67,1|8,2,0.506209913617321
2,67,1|8,3,0.468971477960242
2,67,1|8,4,0.6280258203335127
2,68,2|6,0,0.5184392721706155
2,68,2|6,1,0.3966437093801533
2,68,2|6,2,0.5492145178764898
2,68,2|6,3,0.45743750250792503
2,68,2|6,4,0.6225274725274725
2,69,0|10,0,0.3921417069243156
2,69,0|10,1,0.3166008010325603
2,69,0|10,2,0.38852845821982507
2,69,0|10,3,0.4246635182025732
2,69,0|10,4,0.2511831425038972
2,70,2|7,0,0.5400691262760229
2,70,2|7,1,0.4870982875908984
2,70,2|7,2,0.5268354833572225
2,70,2|7,3,0.5609915198956295
2,70,2|7,4,0.6732589623408481
2,71,6|8,0,0.4927964918160996
2,71,6|8,1,0.4941355852685902
2,71,6|8,2,0.5475159036802872
2,71,6|8,3,0.33079558518155006
2,71,6|8,4,0.6171681374933408
2,72,0|1,0,0.468482905982906
2,72,0|1,1,0.4246063950657361
2,72,0|1,2,0.6247050267887619
2,72,0|1,3,0.36937809112911707
2,72,0|1,4,0.5677753750042906
2,73,1|3,0,0.48102226720647767
2,73,1|3,1,0.468482905982906
2,73,1|3,2,0.5079737685371488
2,73,1|3,3,0.4211161387631976
2,73,1|3,4,0.5455748354455251
2,74,4|8,0,0.4681318681318682
2,74,4|8,1,0.46271781620618824
2,74,4|8,2,0.5606508875739644
2,74,4|8,3,0.3721496926625132
2,74,4|8,4,0.6253404345457847
2,75,7|8,0,0.49565360013121207
2,75,7|8,1,0.452991452991453
2,75,7|8,2,0.42809821057012065
2,75,7|8,3,0.33614712089237253
2,75,7|8,4,0.5246768813841984
2,76,2|4,0,0.5304789131928285
2,76,2|4,1,0.4604847207586934
2,76,2|4,2,0.47992232569347
2,76,2|4,3,0.3777011102592498
2,76,2|4,4,0.4729928541403951
2,77,3|6,0,0.5290019259091424
2,77,3|6,1,0.4193538572179349
2,77,3|6,2,0.44426162073220904
2,77,3|6,3,0.3420215591734081
2,77,3|6,4,0.6095860566448801
2,78,0|7,0,0.4161735700197239
2,78,0|7,1,0.4036160420775806
2,78,0|7,2,0.44290090017789546
2,78,0|7,3,0.32813850973054953
2,78,0|7,4,0.4900645533556926
2,79,1|5,0,0.5511336657169991
2,79,1|5,1,0.5031702898550725
2,79,1|5,2,0.5380929142060624
2,79,1|5,3,0.5182897771678009
2,79,1|5,4,0.563457042867221
2,80,9|10,0,0.5497076023391813
2,80,9|10,1,0.5092896174863388
2,80,9|10,2,0.4822211264518957
2,80,9|10,3,0.31444623752316064
2,80,9|10,4,0.39060858819894967
2,81,3|7,0,0.529013576078621
2,81,3|7,1,0.4524352365847211
2,81,3|7,2,0.4667819072313454
2,81,3|7,3,0.4376742333731581
2,81,3|7,4,0.5724193292449572
2,82,8|10,0,0.4230376365207826
2,82,8|10,1,0.5331705331705332
2,82,8|10,2,0.6161823361823362
2,82,8|10,3,0.3429077316545347
2,82,8|10,4,0.5579240037071362
2,83,4|9,0,0.5162393162393162
2,83,4|9,1,0.5005236309584136
2,83,4|9,2,0.5499507134528232
2,83,4|9,3,0.4095566854814884
2,83,4|9,4,0.6501239590181898
2,84,3|6,0,0.5290019259091424
2,84,3|6,1,0.4193538572179349
2,84,3|6,2,0.44426162073220904
2,84,3|6,3,0.3420215591734081
2,84,3|6,4,0.6095860566448801
2,85,6|8,0,0.4927964918160996
2,85,6|8,1,0.4941355852685902
2,85,6|8,2,0.5475159036802872
2,85,6|8,3,0.33079558518155006
2,85,6|8,4,0.6171681374933408
2,86,6|9,0,0.5108135351779419
2,86,6|9,1,0.4407378335949765
2,86,6|9,2,0.5714210752130578
2,86,6|9,3,0.37750694615348945
2,86,6|9,4,0.5730689064022398
2,87,3|7,0,0.529013576078621
2,87,3|7,1,0.4524352365847211
2,87,3|7,2,0.4667819072313454
2,87,3|7,3,0.4376742333731581
2,87,3|7,4,0.5724193292449572
2,88,2|10,0,0.47038821042616114
2,88,2|10,1,0.4477744477744477
2,88,2|10,2,0.4538883612957687
2,88,2|10,3,0.42079248975800704
2,88,2|10,4,0.5245945863627859
2,89,1|5,0,0.5511336657169991
2,89,1|5,1,0.5031702898550725
2,89,1|5,2,0.5380929142060624
2,89,1|5,3,0.5182897771678009
2,89,1|5,4,0.563457042867221
2,90,7|9,0,0.5162393162393162
2,90,7|9,1,0.46264057947906745
2,90,7|9,2,0.5205128205128206
2,90,7|9,3,0.289014289014289
2,90,7|9,4,0.4475076547670722
2,91,6|7,0,0.5422825153283374
2,91,6|7,1,0.4166182612784554
2,91,6|7,2,0.5567765567765568
2,91,6|7,3,0.3842042381940514
2,91,6|7,4,0.5621957950725074
2,92,6|8,0,0.4927964918160996
2,92,6|8,1,0.4941355852685902
2,92,6|8,2,0.5475159036802872
2,92,6|8,3,0.33079558518155006
2,92,6|8,4,0.6171681374933408
2,93,1|4,0,0.5072537975763782
2,93,1|4,1,0.4493006993006993
2,93,1|4,2,0.5593483001220565
2,93,1|4,3,0.3959786488522121
2,93,1|4,4,0.5695563695563697
2,94,6|8,0,0.4927964918160996
2,94,6|8,1,0.4941355852685902
2,94,6|8,2,0.5475159036802872
2,94,6|8,3,0.33079558518155006
2,94,6|8,4,0.6171681374933408
2,95,7|8,0,0.49565360013121207
2,95,7|8,1,0.452991452991453
2,95,7|8,2,0.42809821057012065
2,95,7|8,3,0.33614712089237253
2,95,7|8,4,0.5246768813841984
2,96,5|9,0,0.5112665112665112
2,96,5|9,1,0.533523814807623
2,96,5|9,2,0.5008771929824561
2,96,5|9,3,0.3623481781376518
2,96,5|9,4,0.4848178137651822
2,97,3|5,0,0.49476190476190474
2,97,3|5,1,0.4348385031531099
2,97,3|5,2,0.5694785086089434
2,97,3|5,3,0.37881741390513324
2,97,3|5,4,0.5828053191839653
2,98,2|7,0,0.5400691262760229
2,98,2|7,1,0.4870982875908984
2,98,2|7,2,0.5268354833572225
2,98,2|7,3,0.5609915198956295
2,98,2|7,4,0.6732589623408481
2,99,4|7,0,0.45556946182728414
2,99,4|7,1,0.44319865319865326
2,99,4|7,2,0.42276892276892275
2,99,4|7,3,0.5026151732882502
2,99,4|7,4,0.616173570019724
2,100,5|6,0,0.5374358974358975
2,100,5|6,1,0.38615136876006445
2,100,5|6,2,0.5654600301659125
2,100,5|6,3,0.42869730888306745
2,100,5|6,4,0.5638278388278388
2,101,5|7,0,0.4587194373115998
2,101,5|7,1,0.48519333060556463
2,101,5|7,2,0.46996266823853033
2,101,5|7,3,0.26311424424631974
2,101,5|7,4,0.5239563413079394
2,102,4|7,0,0.45556946182728414
2,102,4|7,1,0.44319865319865326
2,102,4|7,2,0.42276892276892275
2,102,4|7,3,0.5026151732882502
2,102,4|7,4,0.616173570019724
2,103,5|8,0,0.47655501484580287
2,103,5|8,1,0.5198051649664552
2,103,5|8,2,0.49173344884845854
2,103,5|8,3,0.3460145129468416
2,103,5|8,4,0.5649854688592134
2,104,3|5,0,0.49476190476190474
2,104,3|5,1,0.4348385031531099
2,104,3|5,2,0.5694785086089434
2,104,3|5,3,0.37881741390513324
2,104,3|5,4,0.5828053191839653
2,105,8|10,0,0.4230376365207826
2,105,8|10,1,0.5331705331705332
2,105,8|10,2,0.6161823361823362
2,105,8|10,3,0.3429077316545347
2,105,8|10,4,0.5579240037071362
2,106,8|10,0,0.4230376365207826
2,106,8|10,1,0.5331705331705332
2,106,8|10,2,0.6161823361823362
2,106,8|10,3,0.3429077316545347
2,106,8|10,4,0.5579240037071362
2,107,6|7,0,0.5422825153283374
2,107,6|7,1,0.4166182612784554
2,107,6|7,2,0.5567765567765568
2,107,6|7,3,0.3842042381940514
2,107,6|7,4,0.5621957950725074
2,108,1|3,0,0.48102226720647767
2,108,1|3,1,0.468482905982906
2,108,1|3,2,0.5079737685371488
2,108,1|3,3,0.4211161387631976
2,108,1|3,4,0.5455748354455251
2,109,5|9,0,0.5112665112665112
2,109,5|9,1,0.533523814807623
2,109,5|9,2,0.5008771929824561
2,109,5|9,3,0.3623481781376518
2,109,5|9,4,0.4848178137651822
2,110,6|10,0,0.4680530634549765
2,110,6|10,1,0.4536579628322748
2,110,6|10,2,0.48199649353495505
2,110,6|10,3,0.29702518467813244
2,110,6|10,4,0.4190947655537723
2,111,5|9,0,0.5112665112665112
2,111,5|9,1,0.533523814807623
2,111,5|9,2,0.5008771929824561
2,111,5|9,3,0.3623481781376518
2,111,5|9,4,0.4848178137651822
2,112,4|7,0,0.45556946182728414
2,112,4|7,1,0.44319865319865326
2,112,4|7,2,0.42276892276892275
2,112,4|7,3,0.5026151732882502
2,112,4|7,4,0.616173570019724
2,113,0|5,0,0.4204160619254959
2,113,0|5,1,0.46621896621896625
2,113,0|5,2,0.5275026343519494
2,113,0|5,3,0.3432528011967264
2,113,0|5,4,0.5199862740348571
2,114,2|8,0,0.5252007607776839
2,114,2|8,1,0.43288084464555054
2,114,2|8,2,0.5093595862826631
2,114,2|8,3,0.48768622681666157
2,114,2|8,4,0.5926977139326536
2,115,0|9,0,0.480360445272726
2,115,0|9,1,0.4842585328257985
2,115,0|9,2,0.5393421393421393
2,115,0|9,3,0.32813850973054953
2,115,0|9,4,0.526027397260274
2,116,7|8,0,0.49565360013121207
2,116,7|8,1,0.452991452991453
2,116,7|8,2,0.42809821057012065
2,116,7|8,3,0.33614712089237253
2,116,7|8,4,0.5246768813841984
2,117,0|6,0,0.4954357811500668
2,117,0|6,1,0.36689565194238083
2,117,0|6,2,0.5191327266226052
2,117,0|6,3,0.3547214003944773
2,117,0|6,4,0.5501354279523293
2,118,2|8,0,0.5252007607776839
2,118,2|8,1,0.43288084464555054
2,118,2|8,2,0.5093595862826631
2,118,2|8,3,0.48768622681666157
2,118,2|8,4,0.5926977139326536
2,119,3|5,0,0.49476190476190474
2,119,3|5,1,0.4348385031531099
2,119,3|5,2,0.5694785086089434
2,119,3|5,3,0.37881741390513324
2,119,3|5,4,0.5828053191839653
2,120,2|7,0,0.5400691262760229
2,120,2|7,1,0.4870982875908984
2,120,2|7,2,0.5268354833572225
2,120,2|7,3,0.5609915198956295
2,120,2|7,4,0.6732589623408481
2,121,8|10,0,0.4230376365207826
2,121,8|10,1,0.5331705331705332
2,121,8|10,2,0.6161823361823362
2,121,8|10,3,0.3429077316545347
2,121,8|10,4,0.5579240037071362
2,122,7|10,0,0.41
2,122,7|10,1,0.49937976253765726
2,122,7|10,2,0.4660494948638549
2,122,7|10,3,0.34654234654234656
2,122,7|10,4,0.4498450267681037
2,123,5|9,0,0.5112665112665112
2,123,5|9,1,0.533523814807623
2,123,5|9,2,0.5008771929824561
2,123,5|9,3,0.3623481781376518
2,123,5|9,4,0.4848178137651822
2,124,6|8,0,0.4927964918160996
2,124,6|8,1,0.4941355852685902
2,124,6|8,2,0.5475159036802872
2,124,6|8,3,0.33079558518155006
2,124,6|8,4,0.6171681374933408
2,125,3|9,0,0.5901191401191401
2,125,3|9,1,0.5047554347826088
2,125,3|9,2,0.4906919564453811
2,125,3|9,3,0.3637566137566138
2,125,3|9,4,0.6138200444457732
2,126,4|5,0,0.46832778871613817
2,126,4|5,1,0.4229260935143288
2,126,4|5,2,0.5388176638176638
2,126,4|5,3,0.44044078773460216
2,126,4|5,4,0.604313276677949
2,127,0|6,0,0.4954357811500668
2,127,0|6,1,0.36689565194238083
2,127,0|6,2,0.5191327266226052
2,127,0|6,3,0.3547214003944773
2,127,0|6,4,0.5501354279523293
2,128,4|7,0,0.45556946182728414
2,128,4|7,1,0.44319865319865326
2,128,4|7,2,0.42276892276892275
2,128,4|7,3,0.5026151732882502
2,128,4|7,4,0.616173570019724
2,129,1|8,0,0.5023290235514345
2,129,1|8,1,0.4389566477478566
2,129,1|8,2,0.506209913617321
2,129,1|8,3,0.468971477960242
2,129,1|8,4,0.6280258203335127
2,130,3|9,0,0.5901191401191401
2,130,3|9,1,0.5047554347826088
2,130,3|9,2,0.4906919564453811
2,130,3|9,3,0.3637566137566138
2,130,3|9,4,0.6138200444457732
2,131,2|6,0,0.5184392721706155
2,131,2|6,1,0.3966437093801533
2,131,2|6,2,0.5492145178764898
2,131,2|6,3,0.45743750250792503
2,131,2|6,4,0.6225274725274725
2,132,7|8,0,0.49565360013121207
2,132,7|8,1,0.452991452991453
2,132,7|8,2,0.42809821057012065
2,132,7|8,3,0.33614712089237253
2,132,7|8,4,0.5246768813841984
2,133,6|10,0,0.4680530634549765
2,133,6|10,1,0.4536579628322748
2,133,6|10,2,0.48199649353495505
2,133,6|10,3,0.29702518467813244
2,133,6|10,4,0.4190947655537723
2,134,2|8,0,0.5252007607776839
2,134,2|8,1,0.43288084464555054
2,134,2|8,2,0.5093595862826631
2,134,2|8,3,0.48768622681666157
2,134,2|8,4,0.5926977139326536
2,135,4|10,0,0.5816597195907541
2,135,4|10,1,0.46191950464396286
2,135,4|10,2,0.4092941140813481
2,135,4|10,3,0.3900404973201908
2,135,4|10,4,0.46855243521910195
2,136,1|2,0,0.4637876743139901
2,136,1|2,1,0.4811662229695017
2,136,1|2,2,0.5592948717948718
2,136,1|2,3,0.36184069855469453
2,136,1|2,4,0.5576550387596899
