# of predictors,i,predictors,fold,cohen_kappa_score
1,0,5,0,0.1805157593123209
1,0,5,1,0.2600556539337212
1,0,5,2,0.3476702508960574
1,0,5,3,0.04878048780487809
1,0,5,4,0.3306810203604025
1,1,5,0,0.1805157593123209
1,1,5,1,0.2600556539337212
1,1,5,2,0.3476702508960574
1,1,5,3,0.04878048780487809
1,1,5,4,0.3306810203604025
1,2,0,0,-0.11721611721611724
1,2,0,1,-0.051347881899871606
1,2,0,2,-0.021021021021021102
1,2,0,3,0.16541836079606254
1,2,0,4,-0.15873015873015883
1,3,1,0,0.2684887459807074
1,3,1,1,0.20668612364022287
1,3,1,2,0.48989298454221164
1,3,1,3,0.12342857142857144
1,3,1,4,0.40981595092024536
1,4,2,0,0.21307506053268754
1,4,2,1,0.20711134181157542
1,4,2,2,0.284688995215311
1,4,2,3,0.15314285714285714
1,4,2,4,0.3369038510584035
1,5,3,0,0.16547788873038527
1,5,3,1,0.12881608339538342
1,5,3,2,0.10066793893129766
1,5,3,3,0.012658227848101222
1,5,3,4,0.09612100512320076
1,6,4,0,0.4618369987063389
1,6,4,1,0.216867469879518
1,6,4,2,0.050299401197604676
1,6,4,3,0.17798594847775173
1,6,4,4,0.19264892268694556
1,7,6,0,0.317113630080177
1,7,6,1,0.0884573894282632
1,7,6,2,0.4247787610619469
1,7,6,3,-0.09601873536299754
1,7,6,4,0.4615009746588694
1,8,7,0,0.1907284768211921
1,8,7,1,0.1071428571428571
1,8,7,2,0.2772540488276529
1,8,7,3,-0.09135802469135812
1,8,7,4,0.26900584795321647
1,9,8,0,0.3458371454711803
1,9,8,1,0.2276615969581749
1,9,8,2,0.4154945815079547
1,9,8,3,0.07142857142857151
1,9,8,4,0.4739347774339443
1,10,9,0,0.2872425782294732
1,10,9,1,0.3275862068965518
1,10,9,2,0.4915856838113296
1,10,9,3,-0.09135802469135812
1,10,9,4,0.3529411764705882
1,11,10,0,0.26519076778144135
1,11,10,1,0.14940021810250814
1,11,10,2,0.2197055492638731
1,11,10,3,0.14390243902439026
1,11,10,4,0.12769972740616475
2,0,2|7,0,0.3734007735792919
2,0,2|7,1,0.2716679968076616
2,0,2|7,2,0.3789442642288411
2,0,2|7,3,0.4385633270321361
2,0,2|7,4,0.5996131528046422
2,1,5|7,0,0.1658841940532082
2,1,5|7,1,0.25035161744022505
2,1,5|7,2,0.2735068007096392
2,1,5|7,3,-0.1419698314108251
2,1,5|7,4,0.38095238095238104
2,2,9|10,0,0.3312101910828026
2,2,9|10,1,0.2719004308281474
2,2,9|10,2,0.3208268441172306
2,2,9|10,3,-0.034482758620689724
2,2,9|10,4,0.20725388601036265
2,3,2|7,0,0.3734007735792919
2,3,2|7,1,0.2716679968076616
2,3,2|7,2,0.3789442642288411
2,3,2|7,3,0.4385633270321361
2,3,2|7,4,0.5996131528046422
2,4,7|10,0,0.06134969325153383
2,4,7|10,1,0.24240411754939395
2,4,7|10,2,0.2556591211717709
2,4,7|10,3,0.035335689045936536
2,4,7|10,4,0.2734924796467504
2,5,5|6,0,0.35207249538513175
2,5,5|6,1,0.04878048780487798
2,5,5|6,2,0.4430229098482594
2,5,5|6,3,0.18553268765133168
2,5,5|6,4,0.4387265590928914
2,6,2|8,0,0.324110671936759
2,6,2|8,1,0.14783821478382142
2,6,2|8,2,0.3571428571428572
2,6,2|8,3,0.30294906166219837
2,6,2|8,4,0.47344734473447336
2,7,1|9,0,0.3687718184703269
2,7,1|9,1,0.2788051209103841
2,7,1|9,2,0.36701272115806405
2,7,1|9,3,0.20118343195266264
2,7,1|9,4,0.5067597034452682
2,8,3|7,0,0.31686918100047345
2,8,3|7,1,0.1892913385826771
2,8,3|7,2,0.27329192546583847
2,8,3|7,3,0.2016129032258065
2,8,3|7,4,0.444015444015444
2,9,3|6,0,0.3042616451932607
2,9,3|6,1,0.13305412371134018
2,9,3|6,2,0.22766612879565795
2,9,3|6,3,0.0070237050043897575
2,9,3|6,4,0.5039370078740157
2,10,3|10,0,0.19378427787934183
2,10,3|10,1,0.2264150943396226
2,10,3|10,2,0.03675389591296674
2,10,3|10,3,0.32369942196531787
2,10,3|10,4,0.1729583395999399
2,11,2|9,0,0.3245214220601642
2,11,2|9,1,0.2682926829268293
2,11,2|9,2,0.3858267716535433
2,11,2|9,3,0.21965317919075145
2,11,2|9,4,0.5996131528046422
2,12,7|10,0,0.06134969325153383
2,12,7|10,1,0.24240411754939395
2,12,7|10,2,0.2556591211717709
2,12,7|10,3,0.035335689045936536
2,12,7|10,4,0.2734924796467504
2,13,1|2,0,0.19962686567164178
2,13,1|2,1,0.26806380982170785
2,13,1|2,2,0.4327897752313795
2,13,1|2,3,0.08891405918165074
2,13,1|2,4,0.4187866927592955
2,14,7|9,0,0.2868142444658326
2,14,7|9,1,0.20231488821943866
2,14,7|9,2,0.36701272115806405
2,14,7|9,3,-0.07371225577264662
2,14,7|9,4,0.2635333613092741
2,15,7|8,0,0.2807017543859649
2,15,7|8,1,0.2191902713925553
2,15,7|8,2,0.18497109826589597
2,15,7|8,3,0.11698113207547167
2,15,7|8,4,0.3761348897535668
2,16,0|7,0,0.10913705583756339
2,16,0|7,1,0.12672701286326815
2,16,0|7,2,0.259493670886076
2,16,0|7,3,-0.0938104448742747
2,16,0|7,4,0.3258426966292134
2,17,0|5,0,0.1590983338778178
2,17,0|5,1,0.24288939051918734
2,17,0|5,2,0.38885664538595477
2,17,0|5,3,-0.05609284332688591
2,17,0|5,4,0.3710591311927939
2,18,1|3,0,0.22808671065032982
2,18,1|3,1,0.22881355932203395
2,18,1|3,2,0.3454063604240284
2,18,1|3,3,0.19702602230483268
2,18,1|3,4,0.4019843656043295
2,19,1|8,0,0.2580849714648066
2,19,1|8,1,0.14814814814814814
2,19,1|8,2,0.3666666666666667
2,19,1|8,3,0.2680965147453084
2,19,1|8,4,0.5363276089828268
2,20,4|9,0,0.2868142444658326
2,20,4|9,1,0.30789707187222715
2,20,4|9,2,0.41671554252199416
2,20,4|9,3,0.14728211357424847
2,20,4|9,4,0.5672436750998668
2,21,0|2,0,0.23529411764705876
2,21,0|2,1,0.1523046092184368
2,21,0|2,2,0.26182965299684535
2,21,0|2,3,0.16588977241568414
2,21,0|2,4,0.3578104138851802
2,22,8|10,0,0.21648216482164817
2,22,8|10,1,0.33532934131736536
2,22,8|10,2,0.5341296928327646
2,22,8|10,3,0.08141901715614996
2,22,8|10,4,0.42297650130548303
2,23,4|7,0,0.19384474046853462
2,23,4|7,1,0.21864111498257843
2,23,4|7,2,0.19144243493603874
2,23,4|7,3,0.32717917675544794
2,23,4|7,4,0.513946587537092
2,24,3|4,0,0.4371617558628983
2,24,3|4,1,0.24266144814090007
2,24,3|4,2,0.10817941952506593
2,24,3|4,3,0.1645244215938303
2,24,3|4,4,0.23645469722264378
2,25,7|8,0,0.2807017543859649
2,25,7|8,1,0.2191902713925553
2,25,7|8,2,0.18497109826589597
2,25,7|8,3,0.11698113207547167
2,25,7|8,4,0.3761348897535668
2,26,3|8,0,0.19257311863292803
2,26,3|8,1,0.16864045476077694
2,26,3|8,2,0.23620178041543027
2,26,3|8,3,0.22683264177040108
2,26,3|8,4,0.45020463847203274
2,27,0|9,0,0.24729326847638478
2,27,0|9,1,0.28626692456479685
2,27,0|9,2,0.4019278516138455
2,27,0|9,3,-0.0938104448742747
2,27,0|9,4,0.4
2,28,8|9,0,0.35582822085889576
2,28,8|9,1,0.38781163434903054
2,28,8|9,2,0.31028037383177565
2,28,8|9,3,0.0302457466918713
2,28,8|9,4,0.3434343434343434
2,29,3|10,0,0.19378427787934183
2,29,3|10,1,0.2264150943396226
2,29,3|10,2,0.03675389591296674
2,29,3|10,3,0.32369942196531787
2,29,3|10,4,0.1729583395999399
2,30,3|9,0,0.44001852709587774
2,30,3|9,1,0.2928870292887029
2,30,3|9,2,0.31034482758620685
2,30,3|9,3,0.04878048780487809
2,30,3|9,4,0.506031363088058
2,31,4|10,0,0.40740740740740744
2,31,4|10,1,0.29032258064516125
2,31,4|10,2,0.1349026708918063
2,31,4|10,3,0.1440252474537369
2,31,4|10,4,0.24425416854438942
2,32,2|6,0,0.3338327839376686
2,32,2|6,1,0.11026615969581732
2,32,2|6,2,0.416030534351145
2,32,2|6,3,0.2277227722772277
2,32,2|6,4,0.5211459754433834
2,33,6|9,0,0.28197674418604646
2,33,6|9,1,0.17099669343410495
2,33,6|9,2,0.4516695957820738
2,33,6|9,3,0.08445297504798455
2,33,6|9,4,0.4675767918088737
2,34,2|4,0,0.34577603143418467
2,34,2|4,1,0.24338624338624348
2,34,2|4,2,0.31398416886543534
2,34,2|4,3,0.11704399829132839
2,34,2|4,4,0.28767123287671237
2,35,5|7,0,0.1658841940532082
2,35,5|7,1,0.25035161744022505
2,35,5|7,2,0.2735068007096392
2,35,5|7,3,-0.1419698314108251
2,35,5|7,4,0.38095238095238104
2,36,1|10,0,0.15039535258996284
2,36,1|10,1,0.20739968733715475
2,36,1|10,2,0.4233206590621039
2,36,1|10,3,0.12477064220183487
2,36,1|10,4,0.2962652119177507
2,37,1|3,0,0.22808671065032982
2,37,1|3,1,0.22881355932203395
2,37,1|3,2,0.3454063604240284
2,37,1|3,3,0.19702602230483268
2,37,1|3,4,0.4019843656043295
2,38,3|9,0,0.44001852709587774
2,38,3|9,1,0.2928870292887029
2,38,3|9,2,0.31034482758620685
2,38,3|9,3,0.04878048780487809
2,38,3|9,4,0.506031363088058
2,39,8|10,0,0.21648216482164817
2,39,8|10,1,0.33532934131736536
2,39,8|10,2,0.5341296928327646
2,39,8|10,3,0.08141901715614996
2,39,8|10,4,0.42297650130548303
2,40,0|8,0,0.28855721393034817
2,40,0|8,1,0.1917098445595855
2,40,0|8,2,0.33551769331585846
2,40,0|8,3,0.10598006644518276
2,40,0|8,4,0.42297650130548303
2,41,1|8,0,0.2580849714648066
2,41,1|8,1,0.14814814814814814
2,41,1|8,2,0.3666666666666667
2,41,1|8,3,0.2680965147453084
2,41,1|8,4,0.5363276089828268
2,42,0|2,0,0.23529411764705876
2,42,0|2,1,0.1523046092184368
2,42,0|2,2,0.26182965299684535
2,42,0|2,3,0.16588977241568414
2,42,0|2,4,0.3578104138851802
2,43,3|5,0,0.2381031891801637
2,43,3|5,1,0.19827963259950432
2,43,3|5,2,0.44957365480740963
2,43,3|5,3,0.10373443983402497
2,43,3|5,4,0.46716615249008375
2,44,7|8,0,0.2807017543859649
2,44,7|8,1,0.2191902713925553
2,44,7|8,2,0.18497109826589597
2,44,7|8,3,0.11698113207547167
2,44,7|8,4,0.3761348897535668
2,45,1|6,0,0.2777777777777778
2,45,1|6,1,0.06575857209957725
2,45,1|6,2,0.5019815059445178
2,45,1|6,3,0.2122905027932962
2,45,1|6,4,0.44451038575667656
