# of predictors,i,predictors,fold,f1_score_macro
4,1,7|23|30|34,2,0.514762875920198
4,2,11|28|29|30,0,0.5201416044871915
4,2,11|28|29|30,1,0.5184914652957673
4,2,11|28|29|30,2,0.5146662695322349
4,3,10|23|26|34,0,0.51258873135029
4,3,10|23|26|34,1,0.511440277455489
4,3,10|23|26|34,2,0.5036465177328213
4,4,5|13|15|29,0,0.5329331575212042
4,4,5|13|15|29,1,0.5374326426655678
4,4,5|13|15|29,2,0.5241347282540524
4,5,9|13|26|30,0,0.5385745941121876
4,5,9|13|26|30,1,0.5397272684276687
4,5,9|13|26|30,2,0.5420874753826833
4,6,6|10|28|31,0,0.4945853469523825
4,6,6|10|28|31,1,0.4935653398927524
4,6,6|10|28|31,2,0.5054348173480497
4,7,2|28|30|34,0,0.5184488174611983
4,7,2|28|30|34,1,0.5187732288118018
4,7,2|28|30|34,2,0.5113371843988869
4,8,3|7|13|22,0,0.5178203628721322
4,8,3|7|13|22,1,0.5281259022481727
4,8,3|7|13|22,2,0.5026653379082303
4,9,5|9|16|34,0,0.5479790095156684
4,9,5|9|16|34,1,0.5423802746287757
4,9,5|9|16|34,2,0.5266709532186611
4,10,1|19|29|34,0,0.5213231123349843
4,10,1|19|29|34,1,0.5093923766185282
4,10,1|19|29|34,2,0.5110970227407173
4,11,15|19|29|32,0,0.4715696812112012
4,11,15|19|29|32,1,0.49722323392010637
4,11,15|19|29|32,2,0.49000145495781416
4,12,2|15|32|33,0,0.4989556352900328
4,12,2|15|32|33,1,0.4885905943890418
4,12,2|15|32|33,2,0.4799016517654932
4,13,8|15|18|36,0,0.4851220172058479
4,13,8|15|18|36,1,0.5143820460953453
4,13,8|15|18|36,2,0.5050098428720359
4,14,10|18|24|27,0,0.4805963527815345
4,14,10|18|24|27,1,0.4763568946162298
4,14,10|18|24|27,2,0.46411206662551585
4,15,5|6|22|28,0,0.5002854833412695
4,15,5|6|22|28,1,0.5292389504857115
4,15,5|6|22|28,2,0.5227083250605243
4,16,15|34|35|36,0,0.5052756912271573
4,16,15|34|35|36,1,0.5207927155082913
4,16,15|34|35|36,2,0.5272500740289973
4,17,2|6|8|32,0,0.5091091831190176
4,17,2|6|8|32,1,0.49927114253153876
4,17,2|6|8|32,2,0.4906493769333909
4,18,3|15|22|35,0,0.49849202137439114
4,18,3|15|22|35,1,0.5138583003543206
4,18,3|15|22|35,2,0.5213268978423332
4,19,6|14|27|29,0,0.4731935593830161
4,19,6|14|27|29,1,0.4488110541424933
4,19,6|14|27|29,2,0.48324778873569846
4,20,5|21|28|31,0,0.5338511776000352
4,20,5|21|28|31,1,0.5256238186669894
4,20,5|21|28|31,2,0.5418770417463037
4,21,1|12|20|22,0,0.5124303797748834
4,21,1|12|20|22,1,0.5102243200285265
4,21,1|12|20|22,2,0.5022437472988462
4,22,25|30|33|34,0,0.5162412644926887
4,22,25|30|33|34,1,0.5080903192711816
4,22,25|30|33|34,2,0.49543919115444846
4,23,4|16|20|25,0,0.515434527220856
4,23,4|16|20|25,1,0.5344940183291034
4,23,4|16|20|25,2,0.5129953566942852
4,24,7|25|30|34,0,0.5388874783125445
4,24,7|25|30|34,1,0.5344433481324832
4,24,7|25|30|34,2,0.5320723497038405
4,25,1|14|23|25,0,0.49996992039906746
4,25,1|14|23|25,1,0.5193899620191522
4,25,1|14|23|25,2,0.49715035716588013
4,26,7|17|21|32,0,0.5376256236935029
4,26,7|17|21|32,1,0.5332969445403607
4,26,7|17|21|32,2,0.5437458044432364
4,27,5|22|28|33,0,0.5359125099618546
4,27,5|22|28|33,1,0.5199501712745628
4,27,5|22|28|33,2,0.5127188869389278
4,28,0|1|8|26,0,0.49312367418318065
4,28,0|1|8|26,1,0.491171810732917
4,28,0|1|8|26,2,0.4867829151689569
4,29,9|24|31|34,0,0.5432733664469126
4,29,9|24|31|34,1,0.5466177512375756
4,29,9|24|31|34,2,0.5244031211493284
4,30,1|4|6|12,0,0.5095868162782101
4,30,1|4|6|12,1,0.5040136301792124
4,30,1|4|6|12,2,0.5033169338563648
4,31,16|17|29|32,0,0.46702072094711294
4,31,16|17|29|32,1,0.4904656923586206
4,31,16|17|29|32,2,0.4982457868061078
5,0,7|12|18|25|34,0,0.5336692995356932
5,0,7|12|18|25|34,1,0.5492888271641736
5,0,7|12|18|25|34,2,0.5461946337322199
5,1,7|12|23|30|34,0,0.5447953366814724
5,1,7|12|23|30|34,1,0.5352041226528946
5,1,7|12|23|30|34,2,0.5193141431517736
5,2,11|23|28|29|30,0,0.5206133127320246
5,2,11|23|28|29|30,1,0.5326558398776614
5,2,11|23|28|29|30,2,0.5409741376827194
5,3,5|10|26|29|34,0,0.5288547070434384
5,3,5|10|26|29|34,1,0.5305910137669533
5,3,5|10|26|29|34,2,0.5228040919112469
5,4,9|13|15|26|30,0,0.5505086132507351
5,4,9|13|15|26|30,1,0.534969941485425
5,4,9|13|15|26|30,2,0.5425135606911367
5,5,6|10|28|31|34,0,0.5695904745050394
5,5,6|10|28|31|34,1,0.5579376869295415
5,5,6|10|28|31|34,2,0.5617312978592014
5,6,2|3|22|28|30,0,0.535717251654119
5,6,2|3|22|28|30,1,0.5404688506513579
5,6,2|3|22|28|30,2,0.5250389237850119
5,7,5|7|13|16|34,0,0.5253258890389912
5,7,5|7|13|16|34,1,0.5299798619514346
5,7,5|7|13|16|34,2,0.5444868493672663
5,8,1|9|19|29|34,0,0.5424177740748536
5,8,1|9|19|29|34,1,0.534595142769136
5,8,1|9|19|29|34,2,0.5516167704982542
5,9,2|15|19|29|32,0,0.5197111721175806
5,9,2|15|19|29|32,1,0.49552853143543835
5,9,2|15|19|29|32,2,0.5170958879855011
5,10,8|15|18|33|36,0,0.5070311013644266
5,10,8|15|18|33|36,1,0.5133425173400173
5,10,8|15|18|33|36,2,0.5304972793158836
5,11,10|18|24|27|28,0,0.5006800067799339
5,11,10|18|24|27|28,1,0.5108673676282814
5,11,10|18|24|27|28,2,0.49541040263208574
5,12,5|6|15|22|36,0,0.5193635503551706
5,12,5|6|15|22|36,1,0.5330473049664771
5,12,5|6|15|22|36,2,0.5091527779458418
5,13,2|15|32|34|35,0,0.5150889113719829
5,13,2|15|32|34|35,1,0.5172432158874197
5,13,2|15|32|34|35,2,0.5137357946432651
5,14,3|6|8|22|32,0,0.5050528549580561
5,14,3|6|8|22|32,1,0.49756312667574276
5,14,3|6|8|22|32,2,0.5122841878605523
5,15,6|15|27|29|35,0,0.5195875933762036
5,15,6|15|27|29|35,1,0.5212836735523846
5,15,6|15|27|29|35,2,0.5187437314323734
5,16,5|14|21|28|31,0,0.5460772628908243
5,16,5|14|21|28|31,1,0.5427527971228949
5,16,5|14|21|28|31,2,0.5486898359815641
5,17,1|12|20|22|33,0,0.5427212089705679
5,17,1|12|20|22|33,1,0.5209358290122057
5,17,1|12|20|22|33,2,0.5375506289538725
5,18,4|16|25|30|34,0,0.5318543566270962
5,18,4|16|25|30|34,1,0.5469151082340166
5,18,4|16|25|30|34,2,0.5296108567191868
5,19,7|20|25|30|34,0,0.5437073163107965
5,19,7|20|25|30|34,1,0.5538709290980494
5,19,7|20|25|30|34,2,0.5331281293043331
5,20,1|7|14|23|25,0,0.5347931532950835
5,20,1|7|14|23|25,1,0.5449082256815246
5,20,1|7|14|23|25,2,0.5358633837244299
5,21,17|21|22|28|32,0,0.5464603381782768
5,21,17|21|22|28|32,1,0.5209331414894216
5,21,17|21|22|28|32,2,0.5044086890373256
5,22,1|5|8|26|33,0,0.4991834254807328
5,22,1|5|8|26|33,1,0.5085606830192918
5,22,1|5|8|26|33,2,0.48952427904767193
5,23,0|9|24|31|34,0,0.5383221936666515
5,23,0|9|24|31|34,1,0.560393799969192
5,23,0|9|24|31|34,2,0.5414547013239347
5,24,1|4|6|12|17,0,0.5207253899554453
5,24,1|4|6|12|17,1,0.5027343131057855
5,24,1|4|6|12|17,2,0.5263388748488841
5,25,10|16|27|29|32,0,0.48133261247924314
5,25,10|16|27|29|32,1,0.47909181218528457
5,25,10|16|27|29|32,2,0.472134546728902
5,26,0|5|15|22|28,0,0.5568870997279597
5,26,0|5|15|22|28,1,0.5549351523231071
5,26,0|5|15|22|28,2,0.5418224117362601
5,27,15|18|24|28|34,0,0.5398595002490318
5,27,15|18|24|28|34,1,0.5305788132328544
5,27,15|18|24|28|34,2,0.546975776792113
5,28,12|24|25|30|35,0,0.5297139839959605
5,28,12|24|25|30|35,1,0.5241283491303821
5,28,12|24|25|30|35,2,0.5319205036799833
5,29,4|8|14|22|28,0,0.5213324301016097
5,29,4|8|14|22|28,1,0.5124834534290588
5,29,4|8|14|22|28,2,0.5219163579697993
5,30,4|19|25|31|34,0,0.5305856256368532
5,30,4|19|25|31|34,1,0.5175280311944197
5,30,4|19|25|31|34,2,0.5251072749059744
5,31,20|27|28|33|35,0,0.5113259636051709
5,31,20|27|28|33|35,1,0.5176121071607344
5,31,20|27|28|33|35,2,0.5343964763125952
6,0,7|8|12|18|25|34,0,0.538793056094173
6,0,7|8|12|18|25|34,1,0.5428737167253068
6,0,7|8|12|18|25|34,2,0.5464605571072259
6,1,7|12|14|23|30|34,0,0.5560365167260303
6,1,7|12|14|23|30|34,1,0.544342134833616
6,1,7|12|14|23|30|34,2,0.5284160432518333
6,2,11|23|26|28|29|30,0,0.5433322432038831
6,2,11|23|26|28|29|30,1,0.5522816399006425
6,2,11|23|26|28|29|30,2,0.5357785958120768
6,3,5|10|13|15|29|34,0,0.5400082284301974
6,3,5|10|13|15|29|34,1,0.5455010063455503
6,3,5|10|13|15|29|34,2,0.5586549402241262
6,4,6|9|13|26|28|30,0,0.5441767362945346
6,4,6|9|13|26|28|30,1,0.5507417762881318
6,4,6|9|13|26|28|30,2,0.566013698940367
6,5,2|10|28|30|31|34,0,0.5623241645348313
6,5,2|10|28|30|31|34,1,0.5580360095294975
6,5,2|10|28|30|31|34,2,0.5561974821770187
6,6,3|5|7|13|16|22,0,0.5419435969354714
6,6,3|5|7|13|16|22,1,0.5586532974647428
6,6,3|5|7|13|16|22,2,0.5709423444252418
6,7,1|9|15|19|29|34,0,0.5519046710248274
6,7,1|9|15|19|29|34,1,0.54158101490434
6,7,1|9|15|19|29|34,2,0.5524871857306166
6,8,2|15|19|29|32|35,0,0.5305359791604978
6,8,2|15|19|29|32|35,1,0.5235687007538287
6,8,2|15|19|29|32|35,2,0.5255715400607311
6,9,8|15|18|33|35|36,0,0.5229574823495585
6,9,8|15|18|33|35|36,1,0.5245277527434439
6,9,8|15|18|33|35|36,2,0.5394613956295177
6,10,10|18|22|24|27|28,0,0.54275448492738
6,10,10|18|22|24|27|28,1,0.535034638819772
6,10,10|18|22|24|27|28,2,0.531008269889154
6,11,2|5|6|15|32|34,0,0.5523628180763037
6,11,2|5|6|15|32|34,1,0.5418272751153522
6,11,2|5|6|15|32|34,2,0.5497393036962798
6,12,3|6|8|15|22|32,0,0.5404972326189724
6,12,3|6|8|15|22|32,1,0.5247317953962006
6,12,3|6|8|15|22|32,2,0.5254390706222546
6,13,6|14|27|29|31|35,0,0.5363041964377283
6,13,6|14|27|29|31|35,1,0.5489788579394265
6,13,6|14|27|29|31|35,2,0.5371095998632606
6,14,5|12|20|21|22|28,0,0.5722222276851787
6,14,5|12|20|21|22|28,1,0.549747391050449
6,14,5|12|20|21|22|28,2,0.5525924073841845
6,15,1|16|25|30|33|35,0,0.4938005649047543
6,15,1|16|25|30|33|35,1,0.5280371050104464
6,15,1|16|25|30|33|35,2,0.5234894222871253
6,16,4|7|20|23|25|30,0,0.5744351380984898
6,16,4|7|20|23|25|30,1,0.5500317938739564
6,16,4|7|20|23|25|30,2,0.5646091464394025
6,17,1|7|14|17|21|25,0,0.5577986148215328
6,17,1|7|14|17|21|25,1,0.5614175753140219
6,17,1|7|14|17|21|25,2,0.5571161741530557
6,18,5|8|22|26|28|33,0,0.5410445042712843
6,18,5|8|22|26|28|33,1,0.5447974230688243
6,18,5|8|22|26|28|33,2,0.5412274727345863
6,19,0|1|9|24|31|36,0,0.5022588526844278
6,19,0|1|9|24|31|36,1,0.5190508662390187
6,19,0|1|9|24|31|36,2,0.5021259138035513
6,20,4|6|12|17|29|32,0,0.542880739368626
6,20,4|6|12|17|29|32,1,0.5409829330488446
6,20,4|6|12|17|29|32,2,0.5279815664326181
6,21,0|10|15|16|27|28,0,0.5162882963829473
6,21,0|10|15|16|27|28,1,0.5166774508659454
6,21,0|10|15|16|27|28,2,0.5039541158079687
6,22,5|15|18|22|24|28,0,0.5657902619826656
6,22,5|15|18|22|24|28,1,0.5406303769797312
6,22,5|15|18|22|24|28,2,0.552053730135922
6,23,8|12|14|24|25|30,0,0.55342041479494
6,23,8|12|14|24|25|30,1,0.5596557524899941
6,23,8|12|14|24|25|30,2,0.5514619883223549
6,24,4|22|25|28|31|33,0,0.5303291736600814
6,24,4|22|25|28|31|33,1,0.5252760280721288
6,24,4|22|25|28|31|33,2,0.529138839660242
6,25,4|19|20|27|28|33,0,0.5274429075089505
6,25,4|19|20|27|28|33,1,0.5336504437878283
6,25,4|19|20|27|28|33,2,0.5250827084972777
6,26,9|13|17|23|28|33,0,0.5667541702773667
6,26,9|13|17|23|28|33,1,0.5569611644462715
6,26,9|13|17|23|28|33,2,0.5584673760757837
6,27,18|20|23|26|29|30,0,0.5592666505465039
6,27,18|20|23|26|29|30,1,0.5550277447485007
6,27,18|20|23|26|29|30,2,0.5421780171042471
6,28,13|20|23|30|32|35,0,0.5472713716217735
6,28,13|20|23|30|32|35,1,0.5385923205263394
6,28,13|20|23|30|32|35,2,0.5366577089670481
6,29,5|15|20|24|26|36,0,0.5233492580216575
6,29,5|15|20|24|26|36,1,0.5401122015811805
6,29,5|15|20|24|26|36,2,0.5294024939634774
6,30,1|8|17|21|23|28,0,0.5488764638889936
6,30,1|8|17|21|23|28,1,0.5443627456159786
6,30,1|8|17|21|23|28,2,0.5730848975231294
6,31,0|3|24|29|33|36,0,0.5406987209222188
6,31,0|3|24|29|33|36,1,0.5387313972464551
6,31,0|3|24|29|33|36,2,0.5095742219682785
7,0,7|8|12|18|21|25|34,0,0.5679674628649796
7,0,7|8|12|18|21|25|34,1,0.5684559345658893
7,0,7|8|12|18|21|25|34,2,0.5749165563575235
7,1,5|7|12|14|23|30|34,0,0.5673867912324693
7,1,5|7|12|14|23|30|34,1,0.5693453190639562
7,1,5|7|12|14|23|30|34,2,0.5422727294410422
7,2,11|17|23|26|28|29|30,0,0.5590713978294192
7,2,11|17|23|26|28|29|30,1,0.5424430452365971
7,2,11|17|23|26|28|29|30,2,0.549473217132029
7,3,5|10|13|15|21|26|29,0,0.5545164925415168
7,3,5|10|13|15|21|26|29,1,0.559520867245534
7,3,5|10|13|15|21|26|29,2,0.560759446002338
7,4,6|9|10|13|15|28|30,0,0.5837844621285989
7,4,6|9|10|13|15|28|30,1,0.5601069572600065
7,4,6|9|10|13|15|28|30,2,0.5656584263941058
7,5,2|3|22|28|29|30|34,0,0.5871780157595753
7,5,2|3|22|28|29|30|34,1,0.5922790881592214
7,5,2|3|22|28|29|30|34,2,0.5674045621962028
7,6,0|5|7|9|13|16|34,0,0.5772030696982459
7,6,0|5|7|9|13|16|34,1,0.5681679840078795
7,6,0|5|7|9|13|16|34,2,0.5719112814489261
7,7,7|15|19|29|34|35|36,0,0.5543915997269653
7,7,7|15|19|29|34|35|36,1,0.5680502519035656
7,7,7|15|19|29|34|35|36,2,0.5655085397190079
7,8,2|15|18|29|32|33|34,0,0.5490572834110824
7,8,2|15|18|29|32|33|34,1,0.544226816282471
7,8,2|15|18|29|32|33|34,2,0.5435527307227138
7,9,8|10|18|22|24|27|36,0,0.5425876800626859
7,9,8|10|18|22|24|27|36,1,0.5161178684601347
7,9,8|10|18|22|24|27|36,2,0.5203782362920086
7,10,5|6|15|17|22|28|32,0,0.5679174628354908
7,10,5|6|15|17|22|28|32,1,0.5646300033596333
7,10,5|6|15|17|22|28|32,2,0.5615041780583282
7,11,1|2|6|8|32|34|35,0,0.5549686387418037
