# of predictors,i,predictors,fold,balanced_accuracy
2,68,2|6,0,0.6750471401634193
2,68,2|6,1,0.5516934046345812
2,68,2|6,2,0.7074063231850116
2,68,2|6,3,0.6145833333333333
2,68,2|6,4,0.7553475935828877
2,69,0|10,0,0.5219489414694893
2,69,0|10,1,0.5424066135946112
2,69,0|10,2,0.5712609970674487
2,69,0|10,3,0.5620471014492754
2,69,0|10,4,0.509453781512605
2,70,2|7,0,0.701379974326059
2,70,2|7,1,0.6277010804321729
2,70,2|7,2,0.6880854800936769
2,70,2|7,3,0.7230769230769232
2,70,2|7,4,0.8023709483793517
2,71,6|8,0,0.6516367137355584
2,71,6|8,1,0.6220146968769137
2,71,6|8,2,0.7230769230769231
2,71,6|8,3,0.4942815249266862
2,71,6|8,4,0.7580547112462006
2,72,0|1,0,0.6100543478260869
2,72,0|1,1,0.5846153846153846
2,72,0|1,2,0.7713700234192038
2,72,0|1,3,0.576681332495286
2,72,0|1,4,0.7203812316715543
2,73,1|3,0,0.6152380952380953
2,73,1|3,1,0.6100543478260869
2,73,1|3,2,0.671692037470726
2,73,1|3,3,0.6047112462006079
2,73,1|3,4,0.6970813679245282
2,74,4|8,0,0.6346153846153846
2,74,4|8,1,0.6602272727272727
2,74,4|8,2,0.7182539682539683
2,74,4|8,3,0.5536656891495602
2,74,4|8,4,0.7604477611940299
2,75,7|8,0,0.6538461538461539
2,75,7|8,1,0.6150373599003736
2,75,7|8,2,0.5923076923076923
2,75,7|8,3,0.5588836937463472
2,75,7|8,4,0.7013888888888888
2,76,2|4,0,0.6835686777920411
2,76,2|4,1,0.6277777777777778
2,76,2|4,2,0.6564874342489772
2,76,2|4,3,0.5620471014492754
2,76,2|4,4,0.6388888888888888
2,77,3|6,0,0.6447203016970459
2,77,3|6,1,0.5619747899159664
2,77,3|6,2,0.6135831381733021
2,77,3|6,3,0.5036231884057971
2,77,3|6,4,0.7461538461538462
2,78,0|7,0,0.5522796352583587
2,78,0|7,1,0.5592691622103387
2,78,0|7,2,0.6320257611241218
2,78,0|7,3,0.45606884057971014
2,78,0|7,4,0.6673076923076924
2,79,1|5,0,0.6719228413962033
2,79,1|5,1,0.644978567054501
2,79,1|5,2,0.6961876832844575
2,79,1|5,3,0.6730769230769231
2,79,1|5,4,0.7164855072463768
2,80,9|10,0,0.6666666666666667
2,80,9|10,1,0.6367137355584083
2,80,9|10,2,0.6721884498480244
2,80,9|10,3,0.48289473684210527
2,80,9|10,4,0.625160462130937
2,81,3|7,0,0.6611039794608472
2,81,3|7,1,0.591337386018237
2,81,3|7,2,0.6352459016393442
2,81,3|7,3,0.5961538461538461
2,81,3|7,4,0.723134328358209
2,82,8|10,0,0.6358024691358024
2,82,8|10,1,0.6794871794871795
2,82,8|10,2,0.7875076546233926
2,82,8|10,3,0.5409117475160725
2,82,8|10,4,0.7314285714285714
2,83,4|9,0,0.641904761904762
2,83,4|9,1,0.6652380952380952
2,83,4|9,2,0.7083577712609971
2,83,4|9,3,0.5714917452830188
2,83,4|9,4,0.7876650660264106
2,84,3|6,0,0.6447203016970459
2,84,3|6,1,0.5619747899159664
2,84,3|6,2,0.6135831381733021
2,84,3|6,3,0.5036231884057971
2,84,3|6,4,0.7461538461538462
2,85,6|8,0,0.6516367137355584
2,85,6|8,1,0.6220146968769137
2,85,6|8,2,0.7230769230769231
2,85,6|8,3,0.4942815249266862
2,85,6|8,4,0.7580547112462006
2,86,6|9,0,0.6358966376089663
2,86,6|9,1,0.5819746376811594
2,86,6|9,2,0.7272995283018868
2,86,6|9,3,0.5421580188679245
2,86,6|9,4,0.7516840171463564
2,87,3|7,0,0.6611039794608472
2,87,3|7,1,0.591337386018237
2,87,3|7,2,0.6352459016393442
2,87,3|7,3,0.5961538461538461
2,87,3|7,4,0.723134328358209
2,88,2|10,0,0.6259160559626915
2,88,2|10,1,0.5744084682440846
2,88,2|10,2,0.6361194029850746
2,88,2|10,3,0.6153846153846154
2,88,2|10,4,0.6935088793631353
2,89,1|5,0,0.6719228413962033
2,89,1|5,1,0.644978567054501
2,89,1|5,2,0.6961876832844575
2,89,1|5,3,0.6730769230769231
2,89,1|5,4,0.7164855072463768
2,90,7|9,0,0.641904761904762
2,90,7|9,1,0.5976729944886712
2,90,7|9,2,0.6849941037735849
2,90,7|9,3,0.4635964912280702
2,90,7|9,4,0.6466376089663761
2,91,6|7,0,0.6542652552926526
2,91,6|7,1,0.5653731343283582
2,91,6|7,2,0.7112903225806452
2,91,6|7,3,0.5467275943396226
2,91,6|7,4,0.7446417636252296
2,92,6|8,0,0.6516367137355584
2,92,6|8,1,0.6220146968769137
2,92,6|8,2,0.7230769230769231
2,92,6|8,3,0.4942815249266862
2,92,6|8,4,0.7580547112462006
2,93,1|4,0,0.6439346323067253
2,93,1|4,1,0.5875
2,93,1|4,2,0.7166666666666667
2,93,1|4,3,0.5733695652173914
2,93,1|4,4,0.7173076923076923
2,94,6|8,0,0.6516367137355584
2,94,6|8,1,0.6220146968769137
2,94,6|8,2,0.7230769230769231
2,94,6|8,3,0.4942815249266862
2,94,6|8,4,0.7580547112462006
2,95,7|8,0,0.6538461538461539
2,95,7|8,1,0.6150373599003736
2,95,7|8,2,0.5923076923076923
2,95,7|8,3,0.5588836937463472
2,95,7|8,4,0.7013888888888888
2,96,5|9,0,0.6305555555555555
2,96,5|9,1,0.6593337523570082
2,96,5|9,2,0.6693691037735849
2,96,5|9,3,0.5346491228070176
2,96,5|9,4,0.6736111111111112
2,97,3|5,0,0.6109900373599004
2,97,3|5,1,0.6058530510585305
2,97,3|5,2,0.7237997658079625
2,97,3|5,3,0.5480769230769231
2,97,3|5,4,0.7361853832442068
2,98,2|7,0,0.701379974326059
2,98,2|7,1,0.6277010804321729
2,98,2|7,2,0.6880854800936769
2,98,2|7,3,0.7230769230769232
2,98,2|7,4,0.8023709483793517
2,99,4|7,0,0.6004761904761905
2,99,4|7,1,0.6172166874221668
2,99,4|7,2,0.5951754385964912
2,99,4|7,3,0.6593455188679245
2,99,4|7,4,0.7599039615846338
2,100,5|6,0,0.6594224924012159
2,100,5|6,1,0.5237082066869301
2,100,5|6,2,0.7183284457478005
2,100,5|6,3,0.5903596698113207
2,100,5|6,4,0.7293313069908814
2,101,5|7,0,0.5736111111111111
2,101,5|7,1,0.6236111111111111
2,101,5|7,2,0.6356304985337243
2,101,5|7,3,0.4298245614035088
2,101,5|7,4,0.7055555555555556
2,102,4|7,0,0.6004761904761905
2,102,4|7,1,0.6172166874221668
2,102,4|7,2,0.5951754385964912
2,102,4|7,3,0.6593455188679245
2,102,4|7,4,0.7599039615846338
2,103,5|8,0,0.570952380952381
2,103,5|8,1,0.6545250320924262
2,103,5|8,2,0.6615384615384615
2,103,5|8,3,0.5496785505552308
2,103,5|8,4,0.7255052051439069
2,104,3|5,0,0.6109900373599004
2,104,3|5,1,0.6058530510585305
2,104,3|5,2,0.7237997658079625
2,104,3|5,3,0.5480769230769231
2,104,3|5,4,0.7361853832442068
2,105,8|10,0,0.6358024691358024
2,105,8|10,1,0.6794871794871795
2,105,8|10,2,0.7875076546233926
2,105,8|10,3,0.5409117475160725
2,105,8|10,4,0.7314285714285714
2,106,8|10,0,0.6358024691358024
2,106,8|10,1,0.6794871794871795
2,106,8|10,2,0.7875076546233926
2,106,8|10,3,0.5409117475160725
2,106,8|10,4,0.7314285714285714
2,107,6|7,0,0.6542652552926526
2,107,6|7,1,0.5653731343283582
2,107,6|7,2,0.7112903225806452
2,107,6|7,3,0.5467275943396226
2,107,6|7,4,0.7446417636252296
2,108,1|3,0,0.6152380952380953
2,108,1|3,1,0.6100543478260869
2,108,1|3,2,0.671692037470726
2,108,1|3,3,0.6047112462006079
2,108,1|3,4,0.6970813679245282
2,109,5|9,0,0.6305555555555555
2,109,5|9,1,0.6593337523570082
2,109,5|9,2,0.6693691037735849
2,109,5|9,3,0.5346491228070176
2,109,5|9,4,0.6736111111111112
2,110,6|10,0,0.5767008985879333
2,110,6|10,1,0.5680555555555555
2,110,6|10,2,0.6643157262905162
2,110,6|10,3,0.4705188679245283
2,110,6|10,4,0.6318353236957888
2,111,5|9,0,0.6305555555555555
2,111,5|9,1,0.6593337523570082
2,111,5|9,2,0.6693691037735849
2,111,5|9,3,0.5346491228070176
2,111,5|9,4,0.6736111111111112
2,112,4|7,0,0.6004761904761905
2,112,4|7,1,0.6172166874221668
2,112,4|7,2,0.5951754385964912
2,112,4|7,3,0.6593455188679245
2,112,4|7,4,0.7599039615846338
2,113,0|5,0,0.5726865671641791
2,113,0|5,1,0.6218297101449275
2,113,0|5,2,0.696135831381733
2,113,0|5,3,0.473731884057971
2,113,0|5,4,0.6882370283018868
2,114,2|8,0,0.6775483011325782
2,114,2|8,1,0.5736111111111111
2,114,2|8,2,0.6820459905660378
2,114,2|8,3,0.6494708994708995
2,114,2|8,4,0.7355223880597015
2,115,0|9,0,0.619756838905775
2,115,0|9,1,0.6443577430972389
2,115,0|9,2,0.7010520163646989
2,115,0|9,3,0.45606884057971014
2,115,0|9,4,0.7076923076923076
2,116,7|8,0,0.6538461538461539
2,116,7|8,1,0.6150373599003736
2,116,7|8,2,0.5923076923076923
2,116,7|8,3,0.5588836937463472
2,116,7|8,4,0.7013888888888888
2,117,0|6,0,0.6350540216086434
2,117,0|6,1,0.5396521226415094
2,117,0|6,2,0.6857435597189696
2,117,0|6,3,0.5057596513075966
2,117,0|6,4,0.7076719576719577
2,118,2|8,0,0.6775483011325782
2,118,2|8,1,0.5736111111111111
2,118,2|8,2,0.6820459905660378
2,118,2|8,3,0.6494708994708995
2,118,2|8,4,0.7355223880597015
2,119,3|5,0,0.6109900373599004
2,119,3|5,1,0.6058530510585305
2,119,3|5,2,0.7237997658079625
2,119,3|5,3,0.5480769230769231
2,119,3|5,4,0.7361853832442068
2,120,2|7,0,0.701379974326059
2,120,2|7,1,0.6277010804321729
2,120,2|7,2,0.6880854800936769
2,120,2|7,3,0.7230769230769232
2,120,2|7,4,0.8023709483793517
2,121,8|10,0,0.6358024691358024
2,121,8|10,1,0.6794871794871795
2,121,8|10,2,0.7875076546233926
2,121,8|10,3,0.5409117475160725
2,121,8|10,4,0.7314285714285714
2,122,7|10,0,0.532051282051282
2,122,7|10,1,0.6147077309868008
2,122,7|10,2,0.6296518607442978
2,122,7|10,3,0.5175438596491228
2,122,7|10,4,0.659017971758665
2,123,5|9,0,0.6305555555555555
2,123,5|9,1,0.6593337523570082
2,123,5|9,2,0.6693691037735849
2,123,5|9,3,0.5346491228070176
2,123,5|9,4,0.6736111111111112
2,124,6|8,0,0.6516367137355584
2,124,6|8,1,0.6220146968769137
2,124,6|8,2,0.7230769230769231
2,124,6|8,3,0.4942815249266862
2,124,6|8,4,0.7580547112462006
2,125,3|9,0,0.7286585365853658
2,125,3|9,1,0.6458333333333334
2,125,3|9,2,0.6547619047619048
2,125,3|9,3,0.5230769230769231
2,125,3|9,4,0.7504477611940299
2,126,4|5,0,0.5861111111111111
2,126,4|5,1,0.6336649550706034
2,126,4|5,2,0.6995614035087719
2,126,4|5,3,0.6027417452830188
2,126,4|5,4,0.7480597014925373
2,127,0|6,0,0.6350540216086434
2,127,0|6,1,0.5396521226415094
2,127,0|6,2,0.6857435597189696
2,127,0|6,3,0.5057596513075966
2,127,0|6,4,0.7076719576719577
2,128,4|7,0,0.6004761904761905
2,128,4|7,1,0.6172166874221668
2,128,4|7,2,0.5951754385964912
2,128,4|7,3,0.6593455188679245
2,128,4|7,4,0.7599039615846338
2,129,1|8,0,0.6321428571428571
2,129,1|8,1,0.5722222222222222
2,129,1|8,2,0.6903846153846154
2,129,1|8,3,0.6322751322751323
2,129,1|8,4,0.7758152173913043
2,130,3|9,0,0.7286585365853658
2,130,3|9,1,0.6458333333333334
2,130,3|9,2,0.6547619047619048
2,130,3|9,3,0.5230769230769231
2,130,3|9,4,0.7504477611940299
2,131,2|6,0,0.6750471401634193
2,131,2|6,1,0.5516934046345812
2,131,2|6,2,0.7074063231850116
2,131,2|6,3,0.6145833333333333
2,131,2|6,4,0.7553475935828877
2,132,7|8,0,0.6538461538461539
2,132,7|8,1,0.6150373599003736
2,132,7|8,2,0.5923076923076923
2,132,7|8,3,0.5588836937463472
2,132,7|8,4,0.7013888888888888
2,133,6|10,0,0.5767008985879333
2,133,6|10,1,0.5680555555555555
2,133,6|10,2,0.6643157262905162
2,133,6|10,3,0.4705188679245283
2,133,6|10,4,0.6318353236957888
2,134,2|8,0,0.6775483011325782
2,134,2|8,1,0.5736111111111111
2,134,2|8,2,0.6820459905660378
2,134,2|8,3,0.6494708994708995
2,134,2|8,4,0.7355223880597015
2,135,4|10,0,0.7115384615384615
2,135,4|10,1,0.6730769230769231
2,135,4|10,2,0.5663992869875223
2,135,4|10,3,0.5739976415094339
2,135,4|10,4,0.6244641763625229
2,136,1|2,0,0.6019047619047619
2,136,1|2,1,0.627910447761194
2,136,1|2,2,0.7156030444964872
2,136,1|2,3,0.5477203647416413
2,136,1|2,4,0.7057692307692307
