# of predictors,i,predictors,fold,balanced_accuracy
1,0,5,0,0.57875
1,0,5,1,0.6295036533131771
1,0,5,2,0.6728439059158945
1,0,5,3,0.5238095238095238
1,0,5,4,0.673119333496692
1,1,5,0,0.57875
1,1,5,1,0.6295036533131771
1,1,5,2,0.6728439059158945
1,1,5,3,0.5238095238095238
1,1,5,4,0.673119333496692
1,2,0,0,0.4487179487179487
1,2,0,1,0.4757575757575757
1,2,0,2,0.4892205638474295
1,2,0,3,0.5959295110449243
1,2,0,4,0.4226190476190476
1,3,1,0,0.6272865853658536
1,3,1,1,0.595442293555501
1,3,1,2,0.7447137087194108
1,3,1,3,0.5654545454545454
1,3,1,4,0.7024242424242424
1,4,2,0,0.6138716356107661
1,4,2,1,0.597770154373928
1,4,2,2,0.6411290322580645
1,4,2,3,0.5812121212121212
1,4,2,4,0.6587358807978851
1,5,3,0,0.5900621118012422
1,5,3,1,0.5644080416976918
1,5,3,2,0.5500474383301708
1,5,3,3,0.5066666666666666
1,5,3,4,0.5471743295019157
1,6,4,0,0.7287874903870802
1,6,4,1,0.6257621951219512
1,6,4,2,0.5248756218905473
1,6,4,3,0.5916988416988418
1,6,4,4,0.591324200913242
1,7,6,0,0.6444948349710254
1,7,6,1,0.5399610136452242
1,7,6,2,0.7109764789736279
1,7,6,3,0.45053088803088803
1,7,6,4,0.7307504873294347
1,8,7,0,0.5922840297359652
1,8,7,1,0.548076923076923
1,8,7,2,0.636255642670468
1,8,7,3,0.45595238095238094
1,8,7,4,0.6474358974358975
1,9,8,0,0.6997885835095138
1,9,8,1,0.6216971544715447
1,9,8,2,0.7157567049808429
1,9,8,3,0.5343927893738141
1,9,8,4,0.7439353099730459
1,10,9,0,0.6376570110228147
1,10,9,1,0.66625
1,10,9,2,0.7475531153019814
1,10,9,3,0.45595238095238094
1,10,9,4,0.6923076923076923
1,11,10,0,0.6487843551797041
1,11,10,1,0.587798000512689
1,11,10,2,0.6175757575757576
1,11,10,3,0.5702380952380952
1,11,10,4,0.5767195767195767
2,0,2|7,0,0.701379974326059
2,0,2|7,1,0.6277010804321729
2,0,2|7,2,0.6880854800936769
2,0,2|7,3,0.7230769230769232
2,0,2|7,4,0.8023709483793517
2,1,5|7,0,0.5736111111111111
2,1,5|7,1,0.6236111111111111
2,1,5|7,2,0.6356304985337243
2,1,5|7,3,0.4298245614035088
2,1,5|7,4,0.7055555555555556
2,2,9|10,0,0.6666666666666667
2,2,9|10,1,0.6367137355584083
2,2,9|10,2,0.6721884498480244
2,2,9|10,3,0.48289473684210527
2,2,9|10,4,0.625160462130937
2,3,2|7,0,0.701379974326059
2,3,2|7,1,0.6277010804321729
2,3,2|7,2,0.6880854800936769
2,3,2|7,3,0.7230769230769232
2,3,2|7,4,0.8023709483793517
2,4,7|10,0,0.532051282051282
2,4,7|10,1,0.6147077309868008
2,4,7|10,2,0.6296518607442978
2,4,7|10,3,0.5175438596491228
2,4,7|10,4,0.659017971758665
2,5,5|6,0,0.6594224924012159
2,5,5|6,1,0.5237082066869301
2,5,5|6,2,0.7183284457478005
2,5,5|6,3,0.5903596698113207
2,5,5|6,4,0.7293313069908814
2,6,2|8,0,0.6775483011325782
2,6,2|8,1,0.5736111111111111
2,6,2|8,2,0.6820459905660378
2,6,2|8,3,0.6494708994708995
2,6,2|8,4,0.7355223880597015
2,7,1|9,0,0.6825895663104966
2,7,1|9,1,0.6340425531914894
2,7,1|9,2,0.6849941037735849
2,7,1|9,3,0.5980769230769231
2,7,1|9,4,0.7648936170212766
2,8,3|7,0,0.6611039794608472
2,8,3|7,1,0.591337386018237
2,8,3|7,2,0.6352459016393442
2,8,3|7,3,0.5961538461538461
2,8,3|7,4,0.723134328358209
2,9,3|6,0,0.6447203016970459
2,9,3|6,1,0.5619747899159664
2,9,3|6,2,0.6135831381733021
2,9,3|6,3,0.5036231884057971
2,9,3|6,4,0.7461538461538462
2,10,3|10,0,0.6147568287808127
2,10,3|10,1,0.6114285714285714
2,10,3|10,2,0.5186567164179104
2,10,3|10,3,0.6615384615384616
2,10,3|10,4,0.587386018237082
2,11,2|9,0,0.6713735558408216
2,11,2|9,1,0.6303951367781155
2,11,2|9,2,0.6944444444444444
2,11,2|9,3,0.6096153846153847
2,11,2|9,4,0.8023709483793517
2,12,7|10,0,0.532051282051282
2,12,7|10,1,0.6147077309868008
2,12,7|10,2,0.6296518607442978
2,12,7|10,3,0.5175438596491228
2,12,7|10,4,0.659017971758665
2,13,1|2,0,0.6019047619047619
2,13,1|2,1,0.627910447761194
2,13,1|2,2,0.7156030444964872
2,13,1|2,3,0.5477203647416413
2,13,1|2,4,0.7057692307692307
2,14,7|9,0,0.641904761904762
2,14,7|9,1,0.5976729944886712
2,14,7|9,2,0.6849941037735849
2,14,7|9,3,0.4635964912280702
2,14,7|9,4,0.6466376089663761
2,15,7|8,0,0.6538461538461539
2,15,7|8,1,0.6150373599003736
2,15,7|8,2,0.5923076923076923
2,15,7|8,3,0.5588836937463472
2,15,7|8,4,0.7013888888888888
2,16,0|7,0,0.5522796352583587
2,16,0|7,1,0.5592691622103387
2,16,0|7,2,0.6320257611241218
2,16,0|7,3,0.45606884057971014
2,16,0|7,4,0.6673076923076924
2,17,0|5,0,0.5726865671641791
2,17,0|5,1,0.6218297101449275
2,17,0|5,2,0.696135831381733
2,17,0|5,3,0.473731884057971
2,17,0|5,4,0.6882370283018868
2,18,1|3,0,0.6152380952380953
2,18,1|3,1,0.6100543478260869
2,18,1|3,2,0.671692037470726
2,18,1|3,3,0.6047112462006079
2,18,1|3,4,0.6970813679245282
2,19,1|8,0,0.6321428571428571
2,19,1|8,1,0.5722222222222222
2,19,1|8,2,0.6903846153846154
2,19,1|8,3,0.6322751322751323
2,19,1|8,4,0.7758152173913043
2,20,4|9,0,0.641904761904762
2,20,4|9,1,0.6652380952380952
2,20,4|9,2,0.7083577712609971
2,20,4|9,3,0.5714917452830188
2,20,4|9,4,0.7876650660264106
2,21,0|2,0,0.6212492345376608
2,21,0|2,1,0.573076923076923
2,21,0|2,2,0.6338709677419355
2,21,0|2,3,0.595065996228787
2,21,0|2,4,0.6763157894736842
2,22,8|10,0,0.6358024691358024
2,22,8|10,1,0.6794871794871795
2,22,8|10,2,0.7875076546233926
2,22,8|10,3,0.5409117475160725
2,22,8|10,4,0.7314285714285714
2,23,4|7,0,0.6004761904761905
2,23,4|7,1,0.6172166874221668
2,23,4|7,2,0.5951754385964912
2,23,4|7,3,0.6593455188679245
2,23,4|7,4,0.7599039615846338
2,24,3|4,0,0.7333119383825417
2,24,3|4,1,0.6266499057196732
2,24,3|4,2,0.5539158386908241
2,24,3|4,3,0.5869565217391304
2,24,3|4,4,0.6142228739002933
2,25,7|8,0,0.6538461538461539
2,25,7|8,1,0.6150373599003736
2,25,7|8,2,0.5923076923076923
2,25,7|8,3,0.5588836937463472
2,25,7|8,4,0.7013888888888888
2,26,3|8,0,0.597601598934044
2,26,3|8,1,0.5839094908862351
2,26,3|8,2,0.6173349056603774
2,26,3|8,3,0.6084656084656084
2,26,3|8,4,0.7205882352941176
2,27,0|9,0,0.619756838905775
2,27,0|9,1,0.6443577430972389
2,27,0|9,2,0.7010520163646989
2,27,0|9,3,0.45606884057971014
2,27,0|9,4,0.7076923076923076
2,28,8|9,0,0.6858974358974359
2,28,8|9,1,0.7
2,28,8|9,2,0.6610447761194029
2,28,8|9,3,0.5151957919345412
2,28,8|9,4,0.6888888888888889
2,29,3|10,0,0.6147568287808127
2,29,3|10,1,0.6114285714285714
2,29,3|10,2,0.5186567164179104
2,29,3|10,3,0.6615384615384616
2,29,3|10,4,0.587386018237082
2,30,3|9,0,0.7286585365853658
2,30,3|9,1,0.6458333333333334
2,30,3|9,2,0.6547619047619048
2,30,3|9,3,0.5230769230769231
2,30,3|9,4,0.7504477611940299
2,31,4|10,0,0.7115384615384615
2,31,4|10,1,0.6730769230769231
2,31,4|10,2,0.5663992869875223
2,31,4|10,3,0.5739976415094339
2,31,4|10,4,0.6244641763625229
2,32,2|6,0,0.6750471401634193
2,32,2|6,1,0.5516934046345812
2,32,2|6,2,0.7074063231850116
2,32,2|6,3,0.6145833333333333
2,32,2|6,4,0.7553475935828877
2,33,6|9,0,0.6358966376089663
2,33,6|9,1,0.5819746376811594
2,33,6|9,2,0.7272995283018868
2,33,6|9,3,0.5421580188679245
2,33,6|9,4,0.7516840171463564
2,34,2|4,0,0.6835686777920411
2,34,2|4,1,0.6277777777777778
2,34,2|4,2,0.6564874342489772
2,34,2|4,3,0.5620471014492754
2,34,2|4,4,0.6388888888888888
2,35,5|7,0,0.5736111111111111
2,35,5|7,1,0.6236111111111111
2,35,5|7,2,0.6356304985337243
2,35,5|7,3,0.4298245614035088
2,35,5|7,4,0.7055555555555556
2,36,1|10,0,0.5756493506493506
2,36,1|10,1,0.5929327521793275
2,36,1|10,2,0.7255402160864346
2,36,1|10,3,0.5653846153846154
2,36,1|10,4,0.6648505603985055
2,37,1|3,0,0.6152380952380953
2,37,1|3,1,0.6100543478260869
2,37,1|3,2,0.671692037470726
2,37,1|3,3,0.6047112462006079
2,37,1|3,4,0.6970813679245282
2,38,3|9,0,0.7286585365853658
2,38,3|9,1,0.6458333333333334
2,38,3|9,2,0.6547619047619048
2,38,3|9,3,0.5230769230769231
2,38,3|9,4,0.7504477611940299
2,39,8|10,0,0.6358024691358024
2,39,8|10,1,0.6794871794871795
2,39,8|10,2,0.7875076546233926
2,39,8|10,3,0.5409117475160725
2,39,8|10,4,0.7314285714285714
2,40,0|8,0,0.6625155666251556
2,40,0|8,1,0.6012158054711245
2,40,0|8,2,0.668322618351841
2,40,0|8,3,0.5476119402985075
2,40,0|8,4,0.7149174528301887
2,41,1|8,0,0.6321428571428571
2,41,1|8,1,0.5722222222222222
2,41,1|8,2,0.6903846153846154
2,41,1|8,3,0.6322751322751323
2,41,1|8,4,0.7758152173913043
2,42,0|2,0,0.6212492345376608
2,42,0|2,1,0.573076923076923
2,42,0|2,2,0.6338709677419355
2,42,0|2,3,0.595065996228787
2,42,0|2,4,0.6763157894736842
2,43,3|5,0,0.6109900373599004
2,43,3|5,1,0.6058530510585305
2,43,3|5,2,0.7237997658079625
2,43,3|5,3,0.5480769230769231
2,43,3|5,4,0.7361853832442068
2,44,7|8,0,0.6538461538461539
2,44,7|8,1,0.6150373599003736
2,44,7|8,2,0.5923076923076923
2,44,7|8,3,0.5588836937463472
2,44,7|8,4,0.7013888888888888
2,45,1|6,0,0.6319444444444444
2,45,1|6,1,0.5311942959001783
2,45,1|6,2,0.750733137829912
2,45,1|6,3,0.6118659420289856
2,45,1|6,4,0.7247899159663866
2,46,3|10,0,0.6147568287808127
2,46,3|10,1,0.6114285714285714
2,46,3|10,2,0.5186567164179104
2,46,3|10,3,0.6615384615384616
2,46,3|10,4,0.587386018237082
2,47,5|7,0,0.5736111111111111
2,47,5|7,1,0.6236111111111111
2,47,5|7,2,0.6356304985337243
2,47,5|7,3,0.4298245614035088
2,47,5|7,4,0.7055555555555556
2,48,7|10,0,0.532051282051282
2,48,7|10,1,0.6147077309868008
2,48,7|10,2,0.6296518607442978
2,48,7|10,3,0.5175438596491228
2,48,7|10,4,0.659017971758665
2,49,1|3,0,0.6152380952380953
2,49,1|3,1,0.6100543478260869
2,49,1|3,2,0.671692037470726
2,49,1|3,3,0.6047112462006079
2,49,1|3,4,0.6970813679245282
2,50,5|10,0,0.5123809523809524
2,50,5|10,1,0.6696428571428572
2,50,5|10,2,0.6733193277310925
2,50,5|10,3,0.5175438596491228
2,50,5|10,4,0.660952380952381
2,51,0|8,0,0.6625155666251556
2,51,0|8,1,0.6012158054711245
2,51,0|8,2,0.668322618351841
2,51,0|8,3,0.5476119402985075
2,51,0|8,4,0.7149174528301887
2,52,7|9,0,0.641904761904762
2,52,7|9,1,0.5976729944886712
2,52,7|9,2,0.6849941037735849
2,52,7|9,3,0.4635964912280702
2,52,7|9,4,0.6466376089663761
2,53,9|10,0,0.6666666666666667
2,53,9|10,1,0.6367137355584083
2,53,9|10,2,0.6721884498480244
2,53,9|10,3,0.48289473684210527
2,53,9|10,4,0.625160462130937
2,54,8|9,0,0.6858974358974359
2,54,8|9,1,0.7
2,54,8|9,2,0.6610447761194029
2,54,8|9,3,0.5151957919345412
2,54,8|9,4,0.6888888888888889
2,55,6|10,0,0.5767008985879333
2,55,6|10,1,0.5680555555555555
2,55,6|10,2,0.6643157262905162
2,55,6|10,3,0.4705188679245283
2,55,6|10,4,0.6318353236957888
2,56,4|10,0,0.7115384615384615
2,56,4|10,1,0.6730769230769231
2,56,4|10,2,0.5663992869875223
2,56,4|10,3,0.5739976415094339
2,56,4|10,4,0.6244641763625229
2,57,1|10,0,0.5756493506493506
2,57,1|10,1,0.5929327521793275
2,57,1|10,2,0.7255402160864346
2,57,1|10,3,0.5653846153846154
2,57,1|10,4,0.6648505603985055
2,58,1|5,0,0.6719228413962033
2,58,1|5,1,0.644978567054501
2,58,1|5,2,0.6961876832844575
2,58,1|5,3,0.6730769230769231
2,58,1|5,4,0.7164855072463768
2,59,7|9,0,0.641904761904762
2,59,7|9,1,0.5976729944886712
2,59,7|9,2,0.6849941037735849
2,59,7|9,3,0.4635964912280702
2,59,7|9,4,0.6466376089663761
2,60,6|8,0,0.6516367137355584
2,60,6|8,1,0.6220146968769137
2,60,6|8,2,0.7230769230769231
2,60,6|8,3,0.4942815249266862
2,60,6|8,4,0.7580547112462006
2,61,3|5,0,0.6109900373599004
2,61,3|5,1,0.6058530510585305
2,61,3|5,2,0.7237997658079625
2,61,3|5,3,0.5480769230769231
2,61,3|5,4,0.7361853832442068
2,62,0|9,0,0.619756838905775
2,62,0|9,1,0.6443577430972389
2,62,0|9,2,0.7010520163646989
2,62,0|9,3,0.45606884057971014
2,62,0|9,4,0.7076923076923076
2,63,1|6,0,0.6319444444444444
2,63,1|6,1,0.5311942959001783
2,63,1|6,2,0.750733137829912
2,63,1|6,3,0.6118659420289856
2,63,1|6,4,0.7247899159663866
2,64,4|8,0,0.6346153846153846
2,64,4|8,1,0.6602272727272727
2,64,4|8,2,0.7182539682539683
2,64,4|8,3,0.5536656891495602
2,64,4|8,4,0.7604477611940299
2,65,5|9,0,0.6305555555555555
2,65,5|9,1,0.6593337523570082
2,65,5|9,2,0.6693691037735849
2,65,5|9,3,0.5346491228070176
2,65,5|9,4,0.6736111111111112
2,66,5|7,0,0.5736111111111111
2,66,5|7,1,0.6236111111111111
2,66,5|7,2,0.6356304985337243
2,66,5|7,3,0.4298245614035088
2,66,5|7,4,0.7055555555555556
2,67,1|8,0,0.6321428571428571
2,67,1|8,1,0.5722222222222222
2,67,1|8,2,0.6903846153846154
2,67,1|8,3,0.6322751322751323
2,67,1|8,4,0.7758152173913043
