id	MU:galactitol_builds acid from	MU:glycerol_builds acid from	MU:lactose_builds acid from	MU:maltose_builds acid from	MU:sucrose_builds acid from	MU:amygdalin_builds acid from	MU:arbutin_builds acid from	MU:cellobiose_builds acid from	MU:D-arabinose_builds acid from	MU:D-arabitol_builds acid from	MU:D-fructose_builds acid from	MU:D-fucose_builds acid from	MU:D-galactose_builds acid from	MU:D-glucose_builds acid from	MU:D-lyxose_builds acid from	MU:D-mannitol_builds acid from	MU:D-mannose_builds acid from	MU:D-ribose_builds acid from	MU:D-sorbitol_builds acid from	MU:D-tagatose_builds acid from	MU:D-xylose_builds acid from	MU:erythritol_builds acid from	MU:esculin_builds acid from	MU:gentiobiose_builds acid from	MU:gluconate_builds acid from	MU:glycogen_builds acid from	MU:inulin_builds acid from	MU:L-arabinose_builds acid from	MU:L-arabitol_builds acid from	MU:L-fucose_builds acid from	MU:L-rhamnose_builds acid from	MU:L-sorbose_builds acid from	MU:L-xylose_builds acid from	MU:melezitose_builds acid from	MU:methyl alpha-D-glucopyranoside_builds acid from	MU:methyl alpha-D-mannoside_builds acid from	MU:methyl beta-D-xylopyranoside_builds acid from	MU:myo-inositol_builds acid from	MU:N-acetylglucosamine_builds acid from	MU:raffinose_builds acid from	MU:ribitol_builds acid from	MU:turanose_builds acid from	MU:xylitol_builds acid from	MU:trehalose_builds acid from	MU:Potassium 2-ketogluconate_builds acid from	MU:Potassium 5-ketogluconate_builds acid from
2256	0	0	0	2	2	0	2	2	0	0	2	0	2	2	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
2253	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0
2287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4414	2	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	2	0	2	0	0	0	2	0	0	2	0	2	2	0	2	0	0	0	2	0	2	0	2	0	0	2	0	2
4907	0	2	2	2	0	0	0	0	2	0	2	0	2	2	0	2	2	2	2	2	0	0	0	2	2	0	0	2	0	2	2	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0
5132	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	0	2	2	2	2	2	0	2	0	2
5255	0	0	0	2	0	2	2	2	0	0	2	0	2	2	0	0	2	2	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0
5253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5194	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2
6452	0	0	0	2	2	0	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
6448	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6443	0	0	2	2	0	0	0	0	0	0	2	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6440	0	0	2	2	2	0	0	0	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6439	0	0	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6436	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
6434	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6433	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6431	0	0	2	2	0	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	0	0	2	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	2	0	0	2	0	2	0	0
6417	0	0	0	2	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
6415	0	0	2	2	2	2	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0
6409	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6404	0	0	2	2	2	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6402	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6399	0	0	0	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0
6392	0	0	0	2	2	2	2	2	0	0	2	0	2	2	0	0	2	2	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6383	0	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6382	0	0	0	0	0	2	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0
6552	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	0	0	2	2	2	0	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0
6551	0	0	0	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	0	0	2	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	2	0	2	0	0
6549	0	0	0	0	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	0	0	2	0	0	0	2	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0
