id	MU:galactitol_builds acid from	MU:glycerol_builds acid from	MU:lactose_builds acid from	MU:maltose_builds acid from	MU:sucrose_builds acid from	MU:amygdalin_builds acid from	MU:arbutin_builds acid from	MU:cellobiose_builds acid from	MU:D-arabinose_builds acid from	MU:D-arabitol_builds acid from	MU:D-fructose_builds acid from	MU:D-fucose_builds acid from	MU:D-galactose_builds acid from	MU:D-glucose_builds acid from	MU:D-lyxose_builds acid from	MU:D-mannitol_builds acid from	MU:D-mannose_builds acid from	MU:D-ribose_builds acid from	MU:D-sorbitol_builds acid from	MU:D-tagatose_builds acid from	MU:D-xylose_builds acid from	MU:erythritol_builds acid from	MU:esculin_builds acid from	MU:gentiobiose_builds acid from	MU:gluconate_builds acid from	MU:glycogen_builds acid from	MU:inulin_builds acid from	MU:L-arabinose_builds acid from	MU:L-arabitol_builds acid from	MU:L-fucose_builds acid from	MU:L-rhamnose_builds acid from	MU:L-sorbose_builds acid from	MU:L-xylose_builds acid from	MU:melezitose_builds acid from	MU:methyl alpha-D-glucopyranoside_builds acid from	MU:methyl alpha-D-mannoside_builds acid from	MU:methyl beta-D-xylopyranoside_builds acid from	MU:myo-inositol_builds acid from	MU:N-acetylglucosamine_builds acid from	MU:raffinose_builds acid from	MU:ribitol_builds acid from	MU:turanose_builds acid from	MU:xylitol_builds acid from	MU:trehalose_builds acid from	MU:Potassium 2-ketogluconate_builds acid from	MU:Potassium 5-ketogluconate_builds acid from
6455	0	0	2	2	2	0	2	2	0	0	2	0	2	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0
6644	0	0	0	2	2	0	0	0	0	2	2	0	2	2	0	2	2	2	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2
6643	0	0	2	2	2	0	0	0	0	0	2	0	2	2	0	2	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
6638	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6626	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0
6624	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
6621	0	0	0	0	2	0	2	0	0	0	2	0	0	2	0	2	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	0	0
6619	0	0	2	2	2	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6617	0	0	0	2	2	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
6612	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
6610	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6606	0	0	0	2	2	2	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0
6602	0	0	0	2	2	0	0	0	0	0	2	0	2	2	0	0	2	2	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6593	0	0	0	2	0	0	0	0	0	0	2	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6590	0	0	2	2	0	2	2	2	0	0	2	0	2	2	0	0	2	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6589	0	0	2	2	0	2	2	2	0	0	2	0	2	2	0	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6588	0	0	2	2	0	2	2	2	0	0	2	0	2	2	0	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6579	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0
6578	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	0	2	0	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0
6577	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
6574	0	0	0	2	2	2	2	2	2	0	2	0	2	2	0	0	2	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	2	0	0
6573	0	0	2	2	0	2	2	2	0	0	2	0	2	2	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
6569	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0
6568	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	0	0	0	2	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0
6565	0	0	2	2	2	2	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
6562	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6561	0	0	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0
6553	2	0	0	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	2	2	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0
6705	0	0	2	2	2	2	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0
6701	0	2	0	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0
6700	0	0	0	2	2	2	2	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6696	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6695	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6694	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6693	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
6690	0	0	2	2	2	2	2	2	0	0	2	0	2	2	0	2	2	2	0	2	0	0	2	2	2	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0
6685	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
6681	0	0	0	2	0	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6680	0	0	0	0	2	2	2	2	0	0	2	0	0	2	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0
6679	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6678	0	0	2	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
